asn,nb_hostnames
395747,2607
21664,460
213120,296
61976,269
49612,257
35540,246
394192,222
207728,214
394507,209
198610,196
49352,190
215859,180
9123,175
24722,170
29182,157
39572,142
59467,141
204601,131
15317,114
58061,113
60144,100
210656,84
60781,79
49981,77
62567,72
51346,68
207208,57
43298,55
44534,55
49714,55
8075,54
201706,54
200019,53
210079,53
52000,53
207970,50
204915,47
43030,45
59692,41
40824,40
49665,39
31936,33
44256,32
43197,31
32338,29
14907,29
214455,28
56694,28
210756,28
205312,27
211381,27
44696,26
50482,26
48040,26
8193,25
200532,25
12322,24
211642,24
38369,23
44310,23
6697,23
63293,22
29066,22
26496,22
46606,21
7979,21
33972,20
24961,19
141995,19
44112,19
17668,19
201499,18
44128,18
56341,18
199867,18
60068,18
5537,18
37963,18
204039,18
44094,17
216139,17
8920,17
30968,17
45090,17
8847,16
41722,15
139341,15
58521,15
206407,15
27589,15
200325,15
17025,15
42745,14
395458,14
42240,14
44812,13
49472,13
35425,13
328832,12
23352,12
59939,12
24600,12
50979,12
37662,11
10753,11
62768,11
12956,11
328137,11
19653,11
28320,11
6762,11
18881,11
56696,11
132337,11
15605,11
28398,11
19422,11
3844,11
1916,11
8195,11
6496,11
6057,11
263945,11
210644,11
212490,10
201186,10
62243,10
62082,10
60330,10
39134,10
44907,10
47139,10
48729,10
48282,9
19551,9
214744,9
51433,9
61400,9
214927,9
49287,9
200449,8
393299,8
32494,8
201106,8
14117,8
13030,8
1273,8
61049,8
61573,8
8231,8
48571,8
8529,8
64126,8
1000,8
131073,8
18377,8
6427,8
262427,8
37251,8
329356,8
132602,8
9730,8
60922,8
202492,8
44901,8
22612,7
57352,7
14576,7
206264,7
6681,7
56898,7
43362,7
20661,7
206980,7
2635,7
54994,7
204343,7
215300,7
210976,7
201512,7
205954,7
41976,7
216071,6
205585,6
59601,6
44386,6
50448,6
133795,6
28753,6
30818,6
49945,6
12178,6
14853,6
47422,6
200487,5
202425,5
43077,5
34147,5
139144,5
212136,5
57580,5
20264,5
207809,5
44477,5
58112,5
208592,5
8069,5
216154,5
3920,5
210390,5
36420,5
210053,5
34557,5
52130,5
26666,5
51852,5
48684,5
56851,5
205865,5
200044,5
12555,5
42121,5
7203,5
20848,4
202368,4
56669,4
200039,4
137409,4
60357,4
48096,4
30058,4
212913,4
44027,4
197482,4
48753,4
39160,4
21840,4
15754,4
31492,4
216475,4
150078,4
215498,4
14441,4
6185,4
214653,4
8856,4
209030,4
208795,4
47577,4
48184,4
64437,4
202053,4
207104,4
13442,4
50989,4
43048,4
61424,4
47111,4
214582,3
214124,3
63240,3
52468,3
45352,3
136373,3
6327,3
52320,3
17984,3
9015,3
19782,3
61568,3
29169,3
132045,3
20764,3
2027,3
13786,3
51530,3
196753,3
24482,3
64475,3
207841,3
270014,3
44684,3
35589,3
23520,3
48641,3
35360,3
8708,3
7589,3
15958,3
2614,3
14016,3
35600,3
38726,3
1031,3
29049,3
4134,3
35598,3
264409,3
52025,3
50628,3
14537,3
205920,3
15802,3
209361,3
49676,3
43647,3
202015,3
201012,3
199524,3
139057,3
9009,3
202984,3
48018,3
35387,3
21051,3
199669,3
211522,3
