asn,nb_hostnames
395747,1726
21664,373
213120,252
394507,216
394192,103
39572,80
7979,61
62567,59
204915,57
16276,47
214455,44
8075,38
139688,36
215859,34
395458,34
204450,34
31936,32
47846,29
63293,25
5545,21
38077,20
24600,19
14907,18
6496,18
10753,18
137409,18
24482,18
60781,17
17025,17
50482,17
63240,17
52468,17
45352,17
136373,17
6327,17
37662,17
41722,17
52320,17
62768,17
12956,17
17984,17
8919,17
49287,17
396390,17
328137,17
61568,17
29169,17
52167,17
45517,17
20764,17
2027,17
19653,17
13786,17
51530,17
196753,17
28320,17
64475,17
6762,17
207841,17
270014,17
136620,17
18881,17
5381,17
23520,17
56696,17
48641,17
35360,17
8708,17
7589,17
17668,17
132337,17
15958,17
2614,17
14016,17
15605,17
28398,17
35600,17
19422,17
38726,17
1031,17
3844,17
29049,17
36678,17
35598,17
1916,17
264409,17
52025,17
50628,17
14537,17
8195,17
205920,17
328832,17
6057,17
263945,17
15802,17
19551,15
12178,14
37963,13
38369,13
49981,13
2635,13
22612,12
58731,12
40824,12
138341,11
14853,11
24211,10
133606,10
211612,10
139341,9
32338,8
200325,7
13238,7
49714,7
133795,7
8739,7
1897,6
151373,6
33837,6
36420,6
58061,6
62068,5
27589,5
3457,5
139144,5
26496,5
64437,4
24768,4
5761,4
55293,4
7506,4
58487,4
200019,4
50980,4
44907,4
13442,4
54994,4
141995,4
59692,3
14441,3
6185,3
15201,3
401200,3
139456,3
10929,3
204800,3
9009,3
3920,3
56898,3
52580,3
131723,3
133210,3
135360,3
59253,3
30148,3
150078,3
216395,3
131138,3
199524,3
8657,3
7941,2
202242,2
139057,2
53755,2
215845,2
36057,2
45705,2
206264,2
63930,2
45721,2
207208,2
23693,2
136080,2
141120,2
135065,2
15699,2
42567,2
9986,2
34655,2
51433,2
18310,2
12322,2
140688,2
61976,2
36352,2
136052,2
25253,2
6698,2
54641,2
42656,2
56163,1
35179,1
15817,1
9505,1
23576,1
62082,1
48729,1
22991,1
63362,1
4258,1
58521,1
266444,1
46050,1
34119,1
393874,1
58397,1
14415,1
10954,1
7713,1
133798,1
59796,1
134612,1
215402,1
2514,1
46016,1
26277,1
46864,1
214390,1
38142,1
26347,1
41690,1
136070,1
134629,1
198993,1
21245,1
197540,1
9752,1
59939,1
40034,1
133840,1
12353,1
62243,1
55684,1
132680,1
207970,1
57724,1
33876,1
44477,1
133843,1
59467,1
216014,1
214124,1
48669,1
53824,1
8262,1
61306,1
216154,1
30361,1
138506,1
2057,1
44436,1
24611,1
135905,1
31586,1
965,1
12926,1
4822,1
23352,1
52148,1
35280,1
135387,1
22653,1
12833,1
24526,1
136170,1
140456,1
134433,1
17409,1
398256,1
45894,1
211922,1
28526,1
56851,1
24961,1
28604,1
393689,1
44094,1
131775,1
202425,1
45732,1
133826,1
23816,1
24572,1
131205,1
131111,1
142160,1
204544,1
26666,1
48040,1
28753,1
131704,1
200532,1
3768,1
22560,1
138115,1
57687,1
36066,1
9707,1
7678,1
17841,1
132634,1
30475,1
56872,1
32903,1
63760,1
38544,1
152900,1
55672,1
399358,1
36459,1
59787,1
8560,1
394432,1
17477,1
397273,1
9688,1
53332,1
11281,1
58404,1
18563,1
147103,1
