asn,nb_hostnames
395747,2185
20661,414
21664,404
213120,371
61976,336
49612,261
198610,245
35540,240
394507,212
59467,194
49352,185
207728,160
215859,146
394192,145
29182,138
39572,137
204601,122
210656,109
9123,99
58061,97
49981,86
210079,75
60781,73
62567,73
60144,67
43298,65
204915,62
201706,62
44534,62
49714,62
207208,52
8075,51
51433,49
15317,48
200019,47
56694,47
31936,44
205312,44
207970,43
49665,41
6697,39
14907,38
44310,35
205585,33
7979,33
210756,32
59692,31
212872,31
40824,31
44696,30
211642,30
50482,29
48040,29
200532,28
8193,27
37963,27
201499,26
44256,26
60330,25
214455,25
44112,24
56341,24
32338,23
12322,23
5537,23
8705,22
141995,22
29066,21
44094,21
44128,21
42846,20
204039,20
48282,19
27589,18
199867,18
8920,18
211381,18
34619,18
46606,17
206407,17
9121,17
45090,17
50979,17
41722,16
42745,16
19551,16
38369,16
42240,16
62082,15
26496,15
41976,15
139341,14
44812,14
395458,14
17668,14
59939,13
216139,13
22612,13
39134,13
202368,13
60248,13
52000,13
60068,12
24961,12
210644,12
48729,12
61400,11
60922,11
28753,10
6496,10
63293,10
201186,10
49287,10
24600,10
30968,10
49392,10
47422,10
2635,9
212490,9
20848,9
49676,9
212216,9
36420,9
44907,9
17025,9
37662,9
10753,9
62768,9
12956,9
328137,9
19653,9
28320,9
6762,9
18881,9
56696,9
132337,9
15605,9
28398,9
19422,9
3844,9
1916,9
8195,9
328832,9
6057,9
263945,9
64437,9
204343,8
214744,8
62243,8
206980,8
211505,8
133795,8
56898,8
14576,8
50448,8
26666,8
42245,8
215300,7
214881,7
30058,7
200487,7
57352,7
54994,7
60651,7
60602,6
214927,6
202376,6
12555,6
33972,6
43362,6
48096,6
197553,6
137409,6
24482,6
47577,6
59601,6
58112,6
34388,6
201512,6
42632,6
44477,6
209853,6
35425,6
51495,6
3058,6
202492,6
49126,6
200325,6
6427,6
42532,6
199524,6
14853,6
42121,6
42179,6
7203,6
8901,5
30818,5
26347,5
205865,5
63240,5
52468,5
45352,5
136373,5
6327,5
52320,5
17984,5
9015,5
19782,5
61568,5
29169,5
200039,5
132045,5
20764,5
2027,5
13786,5
51530,5
196753,5
64475,5
207841,5
270014,5
44684,5
35589,5
23520,5
48641,5
35360,5
8708,5
7589,5
15958,5
2614,5
14016,5
35600,5
38726,5
1031,5
29049,5
4134,5
35598,5
264409,5
52025,5
50628,5
14537,5
205920,5
15802,5
8069,5
209030,5
212136,5
50989,5
44160,5
51852,5
3325,5
398256,5
30083,5
200449,5
44901,5
211871,5
42868,5
393299,5
32494,5
201106,5
14117,5
13030,5
1273,5
61049,5
61573,5
8231,5
48571,5
8529,5
64126,5
1000,5
131073,5
18377,5
262427,5
37251,5
329356,5
132602,5
9730,5
210976,5
60357,5
202425,5
33157,5
205954,5
47111,5
34147,4
47478,4
43358,4
25393,4
42910,4
51011,4
199669,4
33993,4
200000,4
5495,4
48018,4
208795,4
59796,4
36352,4
14441,4
52130,4
8560,4
197540,4
21245,4
14956,4
204544,4
34702,4
216154,4
51248,4
34369,4
25106,4
206817,4
44386,4
203087,4
3920,4
208096,4
62160,4
48614,4
60077,4
215498,4
31345,4
57530,4
202090,4
61424,4
202015,4
202984,3
207809,3
50934,3
59684,3
211922,3
42926,3
8856,3
204706,3
61251,3
215840,3
401200,3
34222,3
31492,3
49675,3
214822,3
209361,3
12735,3
200904,3
210390,3
29581,3
42567,3
200651,3
9009,3
50214,3
29226,3
21051,3
201558,3
49718,3
59253,3
51219,3
216014,3
50483,3
7941,3
207569,3
48434,3
201012,3
42474,3
211522,3
50053,3
205696,3
203714,3
48753,3
214653,3
24971,3
25184,3
206264,3
200107,3
151373,3
6185,3
43647,3
138341,3
210774,3
213166,3
17841,3
35080,3
216475,3
42216,3
6698,3
34432,3
38365,3
15549,3
204800,3
201200,3
20852,3
33664,3
142592,2
209684,2
37917,2
29141,2
206977,2
200554,2
57108,2
59840,2
5761,2
197654,2
199608,2
63993,2
205634,2
204490,2
207362,2
201848,2
139144,2
199274,2
35576,2
41111,2
25693,2
59441,2
57580,2
213438,2
33797,2
13171,2
48254,2
30961,2
210734,2
213737,2
29222,2
44244,2
4258,2
207304,2
15493,2
31200,2
34300,2
204770,2
57152,2
204213,2
41619,2
22720,2
137517,2
21840,2
203139,2
214225,2
201634,2
60976,2
139057,2
39160,2
200324,2
57629,2
44932,2
10480,2
15699,2
3387,2
35387,2
207104,2
207027,2
42352,2
44704,2
212296,2
210388,2
8941,2
8480,2
214790,2
30148,2
47995,2
34699,2
6874,2
150436,2
216071,2
32097,2
14315,2
208161,2
63199,2
215272,2
49542,2
42422,2
202696,2
48684,2
35680,2
62563,2
50384,2
205516,2
61306,2
60526,2
8905,2
42337,2
34662,2
215845,2
20545,2
203444,2
199218,2
216206,2
41902,2
59587,2
12178,2
47524,2
55293,2
214798,2
57304,2
50113,2
42849,2
60232,2
206192,2
54641,2
48009,2
204424,2
199072,1
56872,1
50090,1
34959,1
56991,1
60527,1
10929,1
205216,1
4694,1
197720,1
205435,1
42834,1
29389,1
51346,1
51954,1
51468,1
9986,1
52184,1
48061,1
44528,1
197482,1
397849,1
209805,1
206395,1
25820,1
4835,1
201201,1
201589,1
211904,1
198032,1
51431,1
49791,1
14415,1
36914,1
3223,1
208450,1
41185,1
30081,1
201579,1
42655,1
25292,1
47674,1
39686,1
200195,1
150078,1
213877,1
138650,1
212913,1
12578,1
44868,1
62904,1
31586,1
39292,1
43415,1
34655,1
24722,1
213995,1
201916,1
63362,1
12678,1
209847,1
62744,1
202798,1
44066,1
51309,1
51585,1
34304,1
43776,1
56806,1
204159,1
34602,1
7678,1
207446,1
400513,1
201009,1
36850,1
202656,1
43641,1
8440,1
7859,1
203725,1
10242,1
7003,1
135575,1
135402,1
49297,1
15897,1
41892,1
198178,1
47890,1
53264,1
399566,1
42775,1
57687,1
50341,1
8831,1
49604,1
200514,1
36459,1
56364,1
57497,1
212247,1
50881,1
43267,1
202242,1
139880,1
27176,1
12488,1
56864,1
58010,1
35304,1
207582,1
43260,1
52060,1
62425,1
198076,1
41441,1
32632,1
49569,1
205567,1
198561,1
206805,1
136165,1
44903,1
44030,1
44027,1
53667,1
214677,1
206871,1
214573,1
198913,1
25236,1
48922,1
51724,1
215402,1
46844,1
60518,1
9707,1
27223,1
9752,1
43247,1
43060,1
200546,1
209711,1
201707,1
47565,1
200784,1
43773,1
35511,1
8960,1
200788,1
8515,1
204050,1
1547,1
49025,1
204846,1
43955,1
10578,1
40651,1
212552,1
24611,1
213912,1
21419,1
51211,1
41202,1
15707,1
30475,1
34947,1
12978,1
140688,1
136465,1
8324,1
59712,1
206972,1
11106,1
3361,1
60879,1
50980,1
34342,1
53850,1
6681,1
215625,1
49099,1
211112,1
136255,1
43211,1
15685,1
198415,1
44670,1
12976,1
8866,1
8517,1
62314,1
3457,1
43278,1
209445,1
6205,1
213220,1
39020,1
400797,1
208488,1
5386,1
43670,1
60580,1
39503,1
29072,1
215730,1
60550,1
34918,1
214915,1
202053,1
43048,1
199366,1
208975,1
62010,1
200044,1
133849,1
21143,1
43533,1
63760,1
30853,1
19324,1
39678,1
34545,1
2780,1
11878,1
209799,1
34123,1
206873,1
5523,1
8663,1
50313,1
38913,1
23576,1
205193,1
201670,1
47882,1
393874,1
56740,1
399358,1
211864,1
131429,1
139658,1
44880,1
5480,1
24642,1
62222,1
16262,1
41419,1
30340,1
35673,1
212189,1
48988,1
31252,1
57363,1
3188,1
43238,1
199148,1
14340,1
205125,1
209171,1
42072,1
51869,1
207056,1
50187,1
44724,1
28840,1
56631,1
397423,1
43896,1
49683,1
212422,1
34788,1
6846,1
207986,1
42323,1
61308,1
53755,1
51997,1
39032,1
40428,1
53332,1
210544,1
11807,1
34360,1
51783,1
209604,1
48678,1
210107,1
21314,1
57010,1
43801,1
60721,1
210857,1
11281,1
210403,1
40509,1
23522,1
49796,1
214390,1
21121,1
56322,1
41000,1
212860,1
65535,1
61293,1
56897,1
22878,1
31364,1
15703,1
42724,1
56715,1
201863,1
35022,1
41690,1
147303,1
203043,1
55106,1
213229,1
214817,1
53824,1
212301,1
44014,1
48965,1
208626,1
51295,1
198348,1
35258,1
31083,1
48835,1
201744,1
43091,1
212264,1
59504,1
216127,1
210416,1
22512,1
50832,1
200976,1
12997,1
21001,1
215708,1
214105,1
24676,1
58143,1
42106,1
208483,1
10038,1
51557,1
137280,1
200503,1
60591,1
205559,1
214000,1
213029,1
23470,1
25560,1
201498,1
216244,1
209783,1
51025,1
198770,1
199922,1
205762,1
65115,1
213051,1
395092,1
54290,1
64422,1
210250,1
41566,1
34019,1
61106,1
51765,1
20549,1
16200,1
42656,1
41231,1
