asn,nb_hostnames
395747,4322
35540,956
21664,826
213120,600
394507,344
394192,198
37717,172
204915,137
328853,107
37107,100
8075,95
215859,91
39572,86
37671,84
62567,74
2609,71
37492,57
65060,52
37705,46
214455,41
12322,40
31936,39
15317,37
19551,35
50474,35
40824,35
37504,32
37693,31
60068,31
26496,28
141995,27
36420,27
24600,25
327934,24
63293,23
7979,21
14907,21
29182,20
59692,19
60781,18
40699,17
8560,17
22612,17
17668,16
49612,15
26666,15
58061,14
27589,14
65410,14
62068,14
14853,14
37963,13
2057,13
200325,12
6496,11
8195,11
395458,11
58521,10
6427,10
29222,10
328832,10
133795,10
6698,10
139341,9
55293,9
201706,9
216014,9
3844,9
28398,9
18881,9
12956,9
263945,9
10753,9
6057,9
62768,9
17025,9
132337,9
19653,9
6762,9
328137,9
41722,9
28320,9
37662,9
15605,9
19422,9
56696,9
1916,9
50482,9
200019,9
8839,9
31080,9
210403,8
53589,8
8228,8
30148,8
43037,8
25117,7
49981,7
44907,7
137,7
50989,7
2635,7
393299,7
32494,7
201106,7
14117,7
49665,7
13030,7
1273,7
61049,7
61573,7
8231,7
48571,7
8529,7
64126,7
1000,7
131073,7
18377,7
262427,7
37251,7
329356,7
132602,7
9730,7
38369,7
202425,7
213232,7
12178,7
204800,7
64437,6
65050,6
42567,6
54994,6
57633,6
7203,6
56682,6
199524,6
48729,6
29169,6
215300,5
327712,5
52130,5
207208,5
32338,5
207970,5
36080,5
14441,5
61976,5
65450,4
200449,4
6656,4
12640,4
202492,4
49714,4
44534,4
62243,4
3457,4
150078,4
328394,4
56898,4
39241,4
34993,4
6724,4
13442,4
49791,4
329186,4
65253,4
205762,4
206264,4
2611,4
24961,4
28753,4
54641,4
35425,4
47422,4
398256,3
35280,3
36891,3
329071,3
3920,3
1897,3
8399,3
151373,3
53824,3
205544,3
61047,3
211922,3
60855,3
33157,3
52148,3
8069,3
29066,3
6738,3
198610,3
215740,3
24971,3
35744,3
14537,3
24482,3
201188,3
210544,3
6185,3
14576,3
46475,3
210770,3
8304,3
199777,3
42848,3
7941,3
400754,3
16236,3
49352,3
137409,3
8708,3
204601,3
30722,3
41653,3
212792,3
65222,3
200356,3
44880,3
34222,3
10480,3
3296,3
207728,3
199636,3
49287,3
62979,3
33664,3
59253,2
208128,2
53667,2
2665,2
200386,2
138650,2
27223,2
12488,2
48703,2
65055,2
215402,2
48744,2
61102,2
216154,2
36459,2
20546,2
5761,2
205461,2
197540,2
34863,2
33191,2
211942,2
48140,2
209349,2
397273,2
327969,2
2819,2
209928,2
39072,2
47836,2
216353,2
48254,2
200651,2
201744,2
199758,2
51888,2
8705,2
200195,2
215322,2
56650,2
39392,2
51025,2
15826,2
46606,2
56655,2
63240,2
52468,2
45352,2
136373,2
6327,2
52320,2
17984,2
9015,2
19782,2
61568,2
200039,2
132045,2
20764,2
2027,2
13786,2
51530,2
196753,2
64475,2
207841,2
270014,2
44684,2
35589,2
23520,2
48641,2
35360,2
7589,2
15958,2
2614,2
14016,2
35600,2
38726,2
1031,2
29049,2
4134,2
35598,2
264409,2
52025,2
50628,2
205920,2
15802,2
25516,2
14555,2
33930,2
53850,2
8535,2
24608,2
215845,2
45090,2
14824,2
202242,2
139057,2
23352,2
51433,2
12874,2
43641,2
198203,2
61098,2
23576,2
4200000021,2
34699,2
63760,2
133719,2
32780,2
199218,2
42240,2
48040,2
60798,1
45666,1
205312,1
61144,1
208096,1
31727,1
31178,1
135377,1
43091,1
680,1
57352,1
49127,1
15456,1
30081,1
30083,1
200514,1
135905,1
16371,1
20900,1
196763,1
54467,1
35179,1
15401,1
51905,1
48896,1
19973,1
213306,1
12565,1
44386,1
34309,1
64999,1
32632,1
51852,1
44672,1
30818,1
41191,1
34240,1
60922,1
328880,1
36850,1
34619,1
39134,1
198792,1
47195,1
29691,1
9123,1
13627,1
197369,1
202115,1
199167,1
214390,1
208906,1
198913,1
9074,1
203417,1
16128,1
210032,1
50517,1
133409,1
57809,1
3208,1
13601,1
13571,1
49474,1
208488,1
4258,1
15699,1
205139,1
39686,1
152194,1
208444,1
39444,1
7684,1
46844,1
44477,1
394432,1
205111,1
27647,1
54288,1
15703,1
208353,1
207569,1
56872,1
201896,1
213438,1
16839,1
198032,1
37703,1
42422,1
12929,1
212422,1
207809,1
399358,1
213737,1
13830,1
8400,1
5410,1
8565,1
38952,1
24994,1
200487,1
34798,1
202368,1
212490,1
2514,1
51269,1
52012,1
199729,1
9752,1
7859,1
205435,1
34788,1
1625,1
216139,1
48763,1
24806,1
43311,1
198884,1
212219,1
328307,1
9760,1
28704,1
42532,1
200000,1
24586,1
60362,1
8203,1
16326,1
60550,1
48669,1
53332,1
131965,1
201768,1
60144,1
28885,1
202655,1
57788,1
204039,1
57344,1
63362,1
214308,1
58212,1
3209,1
12306,1
3387,1
393874,1
34235,1
39020,1
15149,1
51468,1
210656,1
40244,1
397849,1
34655,1
18229,1
35258,1
32097,1
8657,1
11281,1
26277,1
139144,1
212815,1
14466,1
13193,1
43424,1
8309,1
15685,1
1955,1
62390,1
199712,1
42656,1
15966,1
197019,1
213205,1
210274,1
207697,1
58294,1
31708,1
60230,1
203976,1
197696,1
201085,1
36352,1
52030,1
22169,1
20522,1
150436,1
207139,1
29302,1
197107,1
22560,1
152644,1
56337,1
56798,1
33779,1
214618,1
23470,1
205193,1
9159,1
200102,1
142592,1
393689,1
205373,1
24611,1
50332,1
65115,1
22720,1
47447,1
9009,1
400797,1
50980,1
15479,1
2780,1
205876,1
39162,1
44976,1
33387,1
41690,1
60368,1
197562,1
42745,1
44901,1
60009,1
210275,1
138341,1
198627,1
12678,1
42160,1
5576,1
201012,1
14472,1
34920,1
