asn,nb_hostnames
395747,189
213120,86
21664,70
394507,47
394192,30
39572,19
8075,16
62567,15
31936,11
63293,9
214455,7
19551,7
19648,6
38201,5
7979,4
50989,4
199524,4
14853,4
133795,3
14907,3
4738,3
46606,2
215740,2
35540,2
5761,2
202425,2
2635,2
41690,1
204915,1
64437,1
58294,1
38198,1
53667,1
22560,1
34119,1
37963,1
36459,1
22653,1
215859,1
15685,1
8560,1
46475,1
36420,1
200019,1
6185,1
9009,1
399937,1
208561,1
7941,1
38220,1
11281,1
26666,1
38544,1
10480,1
45179,1
50980,1
38369,1
200195,1
213438,1
6698,1
34655,1
60781,1
139341,1
4258,1
4768,1
9280,1
26496,1
58061,1
18945,1
44907,1
133096,1
