asn,nb_hostnames
395747,4694
21664,673
9121,523
213120,348
8705,214
215859,173
8517,165
394507,160
34619,154
394192,92
8075,87
39572,87
54994,82
211612,81
16276,81
200325,69
36420,68
62567,66
42846,64
35080,62
45504,58
33676,57
20648,39
42910,37
34388,36
204915,35
42926,32
49981,31
43260,28
209853,24
8685,22
21245,20
197720,20
31936,19
49126,19
202620,19
42216,18
5545,17
63293,16
14907,16
139144,16
42868,15
47195,15
214455,15
209171,15
7979,14
206648,14
49714,13
13238,13
201618,13
25566,12
59692,12
9021,12
200019,12
141995,12
47524,11
43352,11
208058,11
64437,11
60232,11
57610,10
19551,10
57152,10
24961,10
31674,10
47952,10
206192,10
207728,9
207582,9
211871,9
201079,9
205335,9
203576,9
213309,8
209711,8
12903,8
12978,8
37963,8
26496,8
26666,7
49879,7
12735,7
60781,7
210388,7
9095,7
19905,7
8678,7
51174,7
1967,7
207970,7
395458,7
48678,6
8456,6
209828,6
216206,6
199907,6
206556,6
31471,6
208880,6
42106,6
197450,6
32338,6
216244,6
14853,6
5381,6
204450,6
2592,5
201863,5
34755,5
212167,5
35280,5
57724,5
49334,5
29189,5
62243,5
199366,5
39095,5
24922,5
6496,5
48737,5
139341,5
213002,5
58061,5
209799,5
61976,5
17668,5
20649,4
3457,4
61418,4
59674,4
22612,4
44565,4
15460,4
201233,4
199608,4
197042,4
210517,4
12322,4
33837,4
30148,4
35185,4
52130,4
15897,4
50769,4
204912,4
206991,4
213212,4
24614,4
34996,4
8560,4
12861,4
17025,4
50482,4
37662,4
41722,4
10753,4
62768,4
12956,4
328137,4
137409,4
19653,4
24482,4
24600,4
28320,4
6762,4
18881,4
56696,4
132337,4
15605,4
28398,4
19422,4
3844,4
1916,4
8195,4
328832,4
6057,4
263945,4
8831,4
42626,4
51722,4
2571,4
41902,4
20978,4
49467,4
44319,4
43856,4
201160,4
2635,4
44907,4
133795,4
48729,4
42338,4
9215,3
12840,3
30818,3
5474,3
9074,3
201021,3
47123,3
51540,3
62369,3
46606,3
41417,3
29549,3
60847,3
201632,3
14441,3
6185,3
12599,3
63240,3
52468,3
45352,3
136373,3
6327,3
52320,3
17984,3
8919,3
49287,3
396390,3
61568,3
29169,3
52167,3
45517,3
20764,3
2027,3
13786,3
51530,3
196753,3
64475,3
207841,3
270014,3
136620,3
23520,3
48641,3
35360,3
8708,3
7589,3
15958,3
2614,3
14016,3
35600,3
38726,3
1031,3
29049,3
36678,3
35598,3
264409,3
52025,3
50628,3
14537,3
205920,3
15802,3
51625,3
13138,3
213282,3
34222,3
60446,3
55293,3
213252,3
42567,3
50090,3
29141,3
48319,3
205192,3
62425,3
33910,3
34478,3
60707,3
7203,3
40824,3
33664,3
197654,2
24667,2
215238,2
133210,2
135360,2
205829,2
43425,2
8466,2
207208,2
213274,2
205762,2
7941,2
39172,2
33157,2
49352,2
43037,2
63760,2
59796,2
213417,2
204544,2
23576,2
42724,2
57352,2
207211,2
34403,2
60248,2
51433,2
51575,2
207983,2
53667,2
42421,2
60881,2
200449,2
44386,2
60721,2
56325,2
211859,2
62068,2
209445,2
53824,2
9183,2
47387,2
47331,2
202859,2
214124,2
199524,2
6939,2
204601,2
59939,2
45090,2
199505,2
13102,2
34684,2
12640,2
6698,2
210690,2
34117,2
44696,2
58212,2
56650,2
3209,2
214305,2
209604,2
16236,2
212219,2
38369,2
214927,2
31080,2
200239,2
199515,2
205725,2
29434,2
202425,2
51557,2
205585,2
33830,2
211249,2
200784,2
215625,2
41735,1
47287,1
14315,1
213220,1
212069,1
24898,1
34593,1
31689,1
138650,1
65115,1
63410,1
200107,1
202924,1
34398,1
200016,1
60056,1
25504,1
202048,1
201086,1
15685,1
201707,1
201512,1
42422,1
213245,1
28967,1
213995,1
40728,1
196733,1
198970,1
401120,1
49835,1
8069,1
202536,1
16552,1
12908,1
213795,1
208901,1
9123,1
197540,1
215739,1
61102,1
199242,1
211381,1
215300,1
203321,1
56898,1
