asn,nb_hostnames
395747,4335
21664,1162
213120,896
394507,546
394192,515
8075,191
16276,130
62567,102
204915,100
30148,91
2635,83
39572,80
46606,75
26496,72
19551,67
215859,60
53824,56
40824,41
31936,40
5639,37
214455,36
5545,35
33182,32
27665,32
22612,31
14853,30
54641,26
401200,24
14441,24
26666,24
7979,23
63293,22
55293,22
211612,22
22720,21
36420,20
27589,20
8560,20
27647,18
6698,18
59692,17
23352,17
26347,16
400754,15
133795,14
47846,14
10480,13
200325,13
7859,13
27653,13
19969,13
14907,12
60781,11
215740,10
28067,10
38369,10
13601,10
36066,10
397849,10
36352,10
12178,10
398787,9
200019,9
13442,9
57724,9
399250,9
37963,9
58061,8
141995,8
55033,8
7203,8
64437,7
33265,7
3457,7
399566,7
33837,7
33157,7
202425,6
36080,6
44907,6
49981,6
14555,6
215300,6
48254,6
45090,6
213232,6
10753,6
786,5
54456,5
42567,5
214124,5
3920,5
6185,5
27924,5
8739,5
139341,5
199218,5
204800,5
53667,4
4258,4
40699,4
24961,4
211922,4
13830,4
58521,4
12322,4
44009,4
7941,4
5761,4
200651,4
206264,4
36057,4
23470,4
198993,4
35425,4
56898,4
3387,4
22194,4
51852,4
771,4
19853,3
40021,3
14576,3
8048,3
54994,3
13238,3
49714,3
39896,3
50980,3
62068,3
23522,3
48729,3
6496,3
7393,3
63410,3
215846,3
393434,3
398256,3
201744,3
28917,3
205193,3
53976,3
202053,3
6939,3
46844,3
31586,3
23576,3
60144,2
30689,2
200449,2
18945,2
30083,2
11807,2
53850,2
19225,2
212792,2
34222,2
33191,2
61210,2
23421,2
3361,2
34119,2
61976,2
39020,2
52148,2
199524,2
14824,2
41441,2
32338,2
51905,2
46475,2
19785,2
36459,2
207728,2
14466,2
2665,2
137870,2
62243,2
30109,2
12488,2
204601,2
34655,2
36850,2
40056,2
150436,2
7506,2
393629,2
24482,2
200784,2
27223,2
200195,2
26505,2
15699,2
215845,2
45420,2
22049,2
48040,2
197019,2
20033,2
42532,2
912,1
35179,1
211864,1
58487,1
32008,1
53755,1
40651,1
393874,1
17025,1
200928,1
56341,1
200044,1
49287,1
211316,1
30058,1
40539,1
9752,1
393689,1
63068,1
46505,1
6192,1
19973,1
58212,1
197816,1
198032,1
23367,1
138341,1
45352,1
198249,1
48669,1
44239,1
11773,1
215322,1
2514,1
396176,1
216071,1
49127,1
18522,1
12092,1
36666,1
38913,1
36818,1
63444,1
14340,1
58294,1
210250,1
215206,1
41000,1
53767,1
39686,1
205762,1
65115,1
4872,1
29066,1
9123,1
396930,1
23033,1
198610,1
14472,1
207970,1
45894,1
46864,1
138650,1
9059,1
5377,1
26996,1
8705,1
27264,1
4150,1
30600,1
43641,1
13536,1
131316,1
3768,1
44160,1
32780,1
39825,1
8473,1
11556,1
6700,1
62755,1
139057,1
132335,1
398743,1
199414,1
61098,1
51468,1
56872,1
215467,1
63362,1
137409,1
27889,1
21221,1
200995,1
34594,1
213737,1
11273,1
6639,1
42106,1
19324,1
31727,1
23876,1
37153,1
44066,1
8001,1
63199,1
12678,1
141518,1
40509,1
9280,1
62217,1
214685,1
13345,1
8025,1
397781,1
12641,1
263575,1
33676,1
10242,1
14813,1
57088,1
8920,1
133050,1
24572,1
400797,1
29222,1
16972,1
207809,1
27862,1
26277,1
214390,1
213035,1
13984,1
397187,1
6352,1
213692,1
394303,1
22414,1
198792,1
62856,1
394112,1
205435,1
41690,1
22653,1
25697,1
24971,1
53332,1
61144,1
216154,1
34920,1
31782,1
206225,1
214073,1
213438,1
397273,1
328832,1
13450,1
27552,1
6356,1
142592,1
151373,1
15318,1
34282,1
33083,1
31708,1
8361,1
399358,1
274483,1
11584,1
400513,1
60885,1
397373,1
24282,1
11281,1
139144,1
55106,1
60114,1
196763,1
50957,1
23520,1
3129,1
35957,1
9009,1
13866,1
9371,1
26752,1
200508,1
30599,1
2516,1
147168,1
44477,1
216014,1
8070,1
63148,1
46562,1
24611,1
132943,1
21581,1
20523,1
60592,1
12129,1
215402,1
203976,1
202368,1
14745,1
36356,1
32298,1
55593,1
19393,1
26317,1
53303,1
30456,1
50474,1
31822,1
32632,1
21345,1
11915,1
206980,1
205373,1
7258,1
207569,1
29182,1
19110,1
200000,1
48287,1
60527,1
401764,1
396356,1
210079,1
13767,1
33472,1
