asn,nb_hostnames
395747,2756
21664,1358
9505,1356
213120,653
394507,544
1659,364
8075,208
17716,143
24161,128
9924,121
394192,114
37963,111
131660,75
63905,74
17713,62
45090,61
38369,60
19551,59
24154,53
18177,52
213232,50
139341,49
201106,49
16276,46
18182,46
4780,43
131585,41
62567,40
54994,36
14853,35
394432,31
17712,28
133795,24
38631,24
40065,24
17710,23
9916,23
131616,21
36678,21
4837,20
13442,20
131138,20
140290,20
14907,18
35908,18
39572,17
395458,17
63293,16
7979,16
7532,16
135054,16
204450,16
17420,15
63210,15
214455,15
26496,15
7539,14
2635,14
18047,14
36420,14
31936,14
4835,14
3457,13
24572,13
46606,13
204915,13
131143,12
131648,12
6496,12
30148,11
59692,11
23816,11
5545,11
215859,11
23576,11
9671,11
9676,11
53667,11
7203,11
135377,10
18045,10
63199,10
49287,10
17668,10
131603,9
18424,9
24168,9
9674,9
131657,9
138341,9
37936,9
60781,9
17984,9
137409,9
17025,9
50482,9
37662,9
41722,9
10753,9
62768,9
12956,9
328137,9
19653,9
24482,9
24600,9
28320,9
6762,9
18881,9
56696,9
132337,9
15605,9
28398,9
19422,9
3844,9
1916,9
8195,9
328832,9
6057,9
263945,9
38019,9
7538,8
4694,8
17711,8
18046,8
63240,8
52468,8
45352,8
136373,8
6327,8
52320,8
8919,8
396390,8
61568,8
29169,8
52167,8
45517,8
20764,8
2027,8
13786,8
51530,8
196753,8
64475,8
207841,8
270014,8
136620,8
5381,8
23520,8
48641,8
35360,8
8708,8
7589,8
15958,8
2614,8
14016,8
35600,8
38726,8
1031,8
29049,8
35598,8
264409,8
52025,8
50628,8
14537,8
205920,8
15802,8
9216,8
131626,7
33387,7
400275,7
131148,7
2497,7
18420,7
32097,7
58521,7
131965,7
211612,7
38845,6
46597,6
141995,6
18422,6
206264,6
7684,6
32780,6
150436,6
396986,6
139144,6
18403,5
63993,5
53850,5
9264,5
25820,5
35280,5
33837,5
17416,5
42532,5
6939,5
23820,5
38841,5
45753,4
64437,4
9416,4
22612,4
135905,4
45898,4
38731,4
18310,4
139057,4
23724,4
131601,4
131584,4
150772,4
44907,4
24282,4
18978,4
6185,4
136959,4
6698,4
53824,4
40824,4
199524,4
4808,3
906,3
131656,3
200325,3
8796,3
131588,3
397273,3
4783,3
26277,3
9440,3
47674,3
10480,3
27647,3
24493,3
55293,3
133775,3
18450,3
134963,3
10135,3
57724,3
9607,3
9311,3
14441,3
7506,3
9688,3
18042,3
400619,3
152737,3
8069,3
5761,3
9370,3
131659,3
398256,3
133861,3
137539,3
4538,2
30058,2
395776,2
33191,2
200019,2
44386,2
9584,2
7715,2
4713,2
131596,2
63410,2
42567,2
47384,2
131921,2
18185,2
26042,2
35916,2
36459,2
49714,2
13238,2
46844,2
33157,2
7482,2
27589,2
7941,2
58466,2
17506,2
212792,2
55593,2
136190,2
134238,2
58540,2
131106,2
202425,2
18415,2
37907,2
23620,2
18049,2
24163,2
399358,2
63139,2
140688,2
40509,2
137697,2
35112,2
58689,2
30083,2
205762,2
62517,2
36066,2
58563,2
136191,2
9760,2
49981,2
9764,2
140708,2
133905,2
26666,2
9802,2
63837,1
32408,1
41690,1
31713,1
200651,1
18413,1
132200,1
38042,1
132327,1
150756,1
131495,1
134760,1
37944,1
140766,1
131599,1
216164,1
207083,1
12322,1
210429,1
7544,1
7514,1
13821,1
396356,1
10032,1
32338,1
7535,1
17686,1
62243,1
393689,1
136188,1
131932,1
9371,1
205193,1
46010,1
9952,1
18421,1
134351,1
20068,1
204601,1
44332,1
58791,1
61210,1
215402,1
138997,1
55106,1
134770,1
58461,1
137693,1
134766,1
134768,1
136194,1
132153,1
58539,1
137698,1
58541,1
63835,1
63838,1
131325,1
9729,1
210772,1
10389,1
17841,1
133752,1
206888,1
33083,1
58061,1
62325,1
24284,1
134542,1
152644,1
54801,1
131414,1
22194,1
201670,1
134481,1
135314,1
12640,1
216047,1
23470,1
48729,1
131640,1
46475,1
40850,1
393874,1
7671,1
17809,1
60550,1
7649,1
133024,1
17511,1
40021,1
36818,1
6352,1
138415,1
131623,1
26347,1
57088,1
152622,1
7859,1
24971,1
393299,1
32494,1
14117,1
49665,1
13030,1
1273,1
61049,1
61573,1
8231,1
48571,1
8529,1
64126,1
1000,1
131073,1
18377,1
262427,1
37251,1
327788,1
132602,1
9730,1
31586,1
65115,1
59078,1
61976,1
46440,1
142036,1
7524,1
8560,1
131628,1
54288,1
17216,1
214390,1
142002,1
45974,1
48254,1
16034,1
9906,1
141760,1
62005,1
40738,1
201744,1
37917,1
4515,1
147060,1
9986,1
15685,1
18419,1
51852,1
63362,1
45894,1
38481,1
23784,1
4760,1
11281,1
146817,1
4641,1
210728,1
18183,1
59796,1
133027,1
131594,1
142005,1
36352,1
24611,1
