asn,nb_hostnames
395747,3916
21664,972
213120,586
327795,549
394507,446
394192,282
204915,253
35540,148
327905,134
22612,127
62567,119
215859,115
39572,107
8075,99
141995,83
2635,54
19551,53
214455,52
37963,46
40824,43
204800,43
37182,39
395458,39
47422,38
36930,36
46606,33
60781,32
56696,31
328676,30
26496,29
14441,27
31936,26
37027,26
15317,25
38369,24
30148,24
7979,24
202492,24
63293,24
49287,23
6496,23
36908,22
37153,22
14907,22
24600,22
10753,21
8195,21
328832,21
26666,21
17668,21
17025,20
50482,20
37662,20
41722,20
62768,20
12956,20
328137,20
137409,20
19653,20
24482,20
28320,20
6762,20
18881,20
132337,20
15605,20
28398,20
19422,20
3844,20
1916,20
6057,20
263945,20
36909,20
22354,20
8560,20
32338,20
54641,20
63240,19
52468,19
45352,19
136373,19
6327,19
52320,19
17984,19
9015,19
19782,19
61568,19
29169,19
200039,19
132045,19
20764,19
2027,19
13786,19
51530,19
196753,19
64475,19
207841,19
270014,19
44684,19
35589,19
23520,19
48641,19
35360,19
8708,19
7589,19
15958,19
2614,19
14016,19
35600,19
38726,19
1031,19
29049,19
4134,19
35598,19
264409,19
52025,19
50628,19
14537,19
205920,19
15802,19
53667,19
55293,18
53824,18
36420,18
133795,17
60068,16
48254,15
14853,15
37419,14
27589,13
58061,13
37085,12
3457,11
398256,11
40021,11
139341,11
56898,10
397849,10
57344,9
397273,9
215740,9
12178,9
139144,9
200019,8
63410,8
55470,8
59692,8
52148,8
47846,8
200325,8
58294,8
395092,7
202425,7
329450,7
37218,7
26347,7
197540,7
50989,6
14466,6
28753,6
328436,6
54994,6
14555,6
133210,6
135360,6
13442,6
8312,6
6698,6
24961,5
44009,5
7859,5
329184,5
9009,5
45090,5
327687,5
64437,5
36080,5
3920,5
62068,5
36914,5
52130,5
34119,5
49025,5
150078,5
328865,5
51852,5
60144,5
328751,5
35425,5
36352,5
199524,5
12322,5
204601,4
327730,4
46844,4
207728,4
53264,4
19853,4
61976,4
46864,4
207208,4
18945,4
37362,4
44534,4
49714,4
198993,4
48729,4
6185,4
327912,4
44907,4
37349,4
328139,4
7203,4
22720,4
59253,3
54290,3
49352,3
399250,3
200449,3
33771,3
37364,3
5761,3
198370,3
394625,3
207970,3
7941,3
45420,3
34309,3
206264,3
51433,3
34222,3
211922,3
14576,3
51468,3
327774,3
199729,3
215300,3
401200,3
31586,3
38365,3
42848,2
33157,2
31458,2
9605,2
15982,2
214124,2
33191,2
38913,2
47002,2
27647,2
45894,2
138341,2
328775,2
32780,2
216154,2
3387,2
32097,2
328174,2
205762,2
200107,2
14315,2
327885,2
196645,2
29757,2
36459,2
6427,2
328805,2
200195,2
327755,2
60230,2
63199,2
63993,2
199867,2
210403,2
329278,2
49981,2
1897,2
23816,2
24572,2
36965,2
198032,2
328849,2
37143,2
10480,2
13830,2
150436,2
11807,2
33387,2
41000,2
202053,2
34931,2
202242,2
2516,2
204548,2
329448,2
13030,2
200313,2
36066,2
212531,2
53755,2
23576,2
34699,2
38185,2
46475,2
37154,2
328665,2
327778,2
43037,2
141518,2
213232,2
12678,2
26277,2
51013,2
215845,2
37013,2
37611,2
49610,2
44477,2
8866,2
31080,2
48040,2
9764,2
328853,1
40009,1
37311,1
45732,1
3768,1
55272,1
53332,1
399358,1
15318,1
62755,1
37496,1
23470,1
133050,1
28917,1
32860,1
28810,1
142592,1
55688,1
37126,1
132856,1
50517,1
202509,1
46440,1
57910,1
38719,1
16839,1
198913,1
2611,1
329172,1
328300,1
10798,1
58487,1
393960,1
2665,1
44932,1
200000,1
61210,1
212422,1
328089,1
205435,1
16617,1
38955,1
4258,1
14113,1
198792,1
33322,1
327766,1
36915,1
212490,1
329221,1
131223,1
13984,1
58791,1
198610,1
34788,1
47521,1
63760,1
56958,1
62744,1
138650,1
32298,1
61065,1
135097,1
328499,1
210848,1
45344,1
49073,1
62243,1
214685,1
202368,1
148000,1
56322,1
205111,1
14472,1
63362,1
18310,1
395532,1
65115,1
31727,1
7040,1
17436,1
23724,1
4808,1
205072,1
17561,1
7489,1
203417,1
37684,1
6724,1
39825,1
8473,1
400797,1
3361,1
214677,1
9123,1
60798,1
201936,1
216071,1
328783,1
37096,1
49612,1
202656,1
34282,1
7684,1
61098,1
327888,1
30994,1
60362,1
200928,1
56341,1
786,1
42400,1
57352,1
60897,1
211864,1
2018,1
2780,1
328252,1
34989,1
46469,1
43009,1
205193,1
327900,1
29286,1
132420,1
44160,1
15808,1
33182,1
205544,1
41828,1
327979,1
42656,1
215322,1
136891,1
2514,1
9752,1
11845,1
47524,1
55106,1
132779,1
51905,1
393689,1
211942,1
393299,1
32494,1
201106,1
14117,1
49665,1
1273,1
61049,1
61573,1
8231,1
48571,1
8529,1
64126,1
1000,1
131073,1
18377,1
262427,1
37251,1
329356,1
132602,1
9730,1
51970,1
42567,1
201684,1
28885,1
54456,1
41690,1
18450,1
210250,1
36850,1
44166,1
151373,1
24757,1
34619,1
32,1
15685,1
20264,1
201706,1
18229,1
329393,1
22653,1
7552,1
15149,1
17363,1
39134,1
28977,1
199968,1
200514,1
63290,1
60114,1
52000,1
20521,1
212872,1
25649,1
139057,1
328646,1
19969,1
397373,1
327884,1
51894,1
150172,1
214390,1
40651,1
213438,1
39458,1
12064,1
31617,1
215402,1
202015,1
397423,1
27223,1
9986,1
216014,1
18209,1
31892,1
48763,1
30083,1
24611,1
140766,1
38731,1
8987,1
131965,1
18978,1
31590,1
28838,1
39029,1
61323,1
41231,1
206959,1
4725,1
131283,1
20616,1
29066,1
12488,1
205373,1
23352,1
394432,1
39832,1
205585,1
11281,1
25820,1
24971,1
29222,1
61144,1
201755,1
17055,1
33676,1
16907,1
372885,1
131429,1
399566,1
133694,1
35908,1
55960,1
64999,1
32632,1
5403,1
208128,1
329298,1
393874,1
38952,1
35744,1
53850,1
147168,1
45644,1
328037,1
214505,1
214618,1
140290,1
50980,1
135377,1
43641,1
11041,1
199193,1
43948,1
62904,1
46562,1
