asn,nb_hostnames
395747,3811
200000,812
215859,729
21664,435
35540,418
213120,284
25393,192
394507,164
196645,139
394192,133
62567,133
43896,123
207728,109
204601,81
58061,76
56851,76
8075,63
61976,53
39572,50
49612,48
60781,47
49981,46
19551,46
215840,46
59692,40
50979,39
48040,35
31193,34
206363,34
60144,31
204915,30
59467,30
31520,30
200019,28
24937,28
141995,26
12322,26
42655,25
31936,23
214744,20
207970,19
25236,19
14907,18
49720,17
59939,17
211381,17
199867,16
15317,16
214685,15
63293,14
197540,14
206980,14
44477,14
49352,14
35680,13
29066,13
30818,13
12530,12
214455,12
42352,12
24961,12
21096,12
40824,12
43773,11
51852,11
41441,11
44600,11
61356,11
9123,11
210756,11
207809,11
44880,10
7979,10
3223,10
12593,10
201094,10
44696,9
6846,9
32338,9
8856,9
52130,9
44907,9
204385,9
395458,9
49714,8
44534,8
50482,8
29389,8
29182,8
60068,8
204770,8
37963,8
12578,8
35523,8
47422,8
22612,7
199524,7
21497,7
57167,7
28753,7
14956,7
26496,7
34342,7
198633,6
133795,6
41544,6
41722,6
7589,6
8195,6
6496,6
49859,6
25330,6
48729,6
200325,6
10480,6
43298,6
6702,6
198610,6
39392,6
24600,6
17668,6
12883,6
42656,6
43010,5
17025,5
37662,5
10753,5
62768,5
12956,5
49287,5
328137,5
200039,5
19653,5
24482,5
28320,5
6762,5
18881,5
56696,5
132337,5
15605,5
28398,5
19422,5
3844,5
1916,5
328832,5
6057,5
263945,5
61297,5
201706,5
200449,5
25133,5
64437,5
202376,5
44901,5
62243,5
34222,5
2635,5
202425,5
60047,5
3252,5
47987,5
14853,5
34867,4
28750,4
63240,4
52468,4
45352,4
136373,4
6327,4
52320,4
17984,4
9015,4
19782,4
61568,4
29169,4
132045,4
20764,4
137409,4
2027,4
13786,4
51530,4
196753,4
64475,4
207841,4
270014,4
44684,4
35589,4
23520,4
48641,4
35360,4
8708,4
15958,4
2614,4
14016,4
35600,4
38726,4
1031,4
29049,4
4134,4
35598,4
264409,4
52025,4
50628,4
14537,4
205920,4
15802,4
14576,4
208058,4
21051,4
28994,4
53667,4
13032,4
41018,4
43409,4
197252,4
28681,4
60922,4
24971,4
201369,4
204487,4
43496,4
35409,4
49227,4
202302,4
6681,4
6698,4
42240,4
50803,3
60594,3
215300,3
47890,3
29574,3
12993,3
20796,3
210330,3
30058,3
9009,3
47898,3
202656,3
34743,3
216475,3
35425,3
30886,3
210656,3
8560,3
29335,3
206264,3
44336,3
39096,3
61354,3
51248,3
62160,3
39762,3
24893,3
208656,3
62563,3
27589,3
205865,3
8258,3
60602,3
13188,3
29208,3
31272,3
6697,3
39851,3
56465,3
49665,3
210644,3
200354,3
42179,3
202015,3
30148,2
36420,2
201780,2
204343,2
25248,2
207208,2
33191,2
44310,2
50494,2
44820,2
203840,2
214881,2
203866,2
56341,2
43981,2
56400,2
59497,2
42458,2
47513,2
205634,2
43037,2
31145,2
12678,2
47577,2
61306,2
215402,2
216071,2
198972,2
6427,2
40699,2
139341,2
208795,2
34259,2
23576,2
12178,2
34776,2
39134,2
31080,2
46606,2
41568,2
4258,2
59796,2
213166,2
7941,2
59577,2
42474,2
