asn,nb_hostnames
395747,3969
21664,1087
213120,592
394507,413
204915,365
394192,300
215859,184
62567,149
8075,147
327724,141
327687,129
16276,123
22612,121
39572,113
47846,97
141995,68
19551,51
2635,46
46606,42
14441,41
26496,39
37963,36
55293,35
23470,33
214455,33
40824,33
53667,32
26666,32
8560,30
133795,29
30148,29
34240,28
26347,28
31936,27
5545,26
204800,26
54641,23
14853,23
60781,22
7979,21
12178,21
328358,19
63293,19
3457,17
27589,17
56696,16
38369,16
20294,15
14907,15
28753,14
37679,14
37153,14
52148,13
14555,12
211612,12
53824,11
215846,11
200019,10
202492,10
327755,9
32338,9
401200,9
54290,9
215740,9
139341,9
10480,9
36420,9
55470,9
12322,9
6698,9
59692,8
397849,8
58294,8
328198,8
48254,8
399250,8
58061,8
199524,8
329184,8
29039,7
200325,7
3920,7
398256,7
328813,7
12491,7
139144,7
10753,7
37063,7
215300,7
62068,7
21491,7
44907,7
37100,7
6496,7
202425,7
35425,7
18945,6
31727,6
45090,6
49981,6
56898,6
397273,6
40021,6
44009,6
33837,6
201200,6
215322,5
36914,5
214124,5
133210,5
135360,5
12488,5
200449,5
29066,5
36977,5
60144,5
150078,5
14466,5
17025,5
395458,5
24600,5
6185,4
329374,4
54994,4
37273,4
51852,4
786,4
51468,4
31586,4
328727,4
329278,4
47002,4
50980,4
7859,4
36080,4
34119,4
64437,4
63993,4
32780,4
142592,4
36943,4
198993,4
63410,4
13442,4
8708,4
328832,4
46844,4
52130,4
17668,4
204450,4
46475,3
42848,3
30083,3
2018,3
5761,3
8312,3
37010,3
42567,3
19648,3
44477,3
19853,3
7589,3
15808,3
205435,3
58521,3
202053,3
207728,3
207208,3
45352,3
30340,3
12678,3
60230,3
199729,3
50482,3
37662,3
41722,3
62768,3
12956,3
328137,3
137409,3
19653,3
24482,3
28320,3
6762,3
18881,3
132337,3
15605,3
28398,3
19422,3
3844,3
1916,3
8195,3
6057,3
263945,3
29222,3
7941,3
394625,3
63068,3
328233,3
48729,3
48040,3
199218,3
49287,3
32903,3
36459,2
36924,2
53755,2
36904,2
196645,2
211922,2
393874,2
32097,2
33387,2
200195,2
327721,2
14576,2
23421,2
33771,2
33157,2
55960,2
38913,2
33191,2
216014,2
132224,2
14113,2
34788,2
24961,2
8960,2
328102,2
13830,2
7203,2
206264,2
57344,2
203639,2
2611,2
62243,2
153864,2
51013,2
329206,2
20068,2
27223,2
210250,2
328252,2
212363,2
11807,2
36066,2
201755,2
30058,2
52000,2
36352,2
34222,2
53303,2
148000,2
328707,2
137517,2
21840,2
63240,2
52468,2
136373,2
6327,2
52320,2
17984,2
8919,2
396390,2
61568,2
29169,2
52167,2
45517,2
20764,2
2027,2
13786,2
51530,2
196753,2
64475,2
207841,2
270014,2
136620,2
5381,2
23520,2
48641,2
35360,2
15958,2
2614,2
14016,2
35600,2
38726,2
1031,2
29049,2
36678,2
35598,2
264409,2
52025,2
50628,2
14537,2
205920,2
15802,2
328015,2
23816,2
24572,2
400754,2
10929,2
24971,2
139057,2
136252,2
328174,2
9009,2
59939,2
147168,2
55272,2
23576,2
51433,2
204548,2
6939,2
216154,2
38719,2
198032,2
37408,2
37683,2
14315,2
210275,2
51859,2
3387,2
13238,2
49714,2
34699,2
22720,2
140290,2
9764,2
24611,1
7489,1
216071,1
12519,1
204545,1
8288,1
2665,1
15318,1
207809,1
24757,1
31264,1
45894,1
31458,1
45644,1
14115,1
40476,1
197540,1
203976,1
203417,1
37206,1
13365,1
33676,1
397138,1
329166,1
40699,1
393249,1
26752,1
41231,1
41000,1
397497,1
56872,1
63199,1
40994,1
2516,1
206972,1
63362,1
131138,1
327884,1
45477,1
8523,1
207970,1
395412,1
398743,1
40651,1
51905,1
133618,1
39686,1
131965,1
37532,1
395532,1
198792,1
63760,1
50474,1
55532,1
56325,1
8659,1
146943,1
5626,1
30994,1
204846,1
60885,1
8069,1
28977,1
8705,1
37496,1
53405,1
329033,1
328037,1
18229,1
59943,1
17289,1
42572,1
199973,1
198203,1
395092,1
55688,1
36982,1
34309,1
12064,1
13438,1
47524,1
11106,1
3361,1
61098,1
205373,1
56302,1
35744,1
22653,1
53264,1
49610,1
36866,1
50517,1
61323,1
13324,1
18522,1
206281,1
8739,1
4258,1
37691,1
13984,1
7003,1
135391,1
137235,1
198167,1
213737,1
55106,1
33182,1
48324,1
210544,1
17841,1
61976,1
200107,1
131429,1
9123,1
51894,1
211864,1
912,1
62856,1
22991,1
58087,1
14340,1
208488,1
133096,1
51970,1
198913,1
212815,1
34931,1
208176,1
53479,1
3768,1
39239,1
36850,1
21320,1
25820,1
29182,1
204206,1
35258,1
202242,1
39292,1
57168,1
46440,1
42106,1
23011,1
23522,1
48314,1
8262,1
327905,1
59253,1
21581,1
60114,1
398787,1
60526,1
36915,1
46786,1
59778,1
62744,1
41653,1
133861,1
141518,1
47748,1
151373,1
56322,1
214677,1
51025,1
196763,1
214390,1
37371,1
39458,1
136165,1
205585,1
215402,1
9752,1
131283,1
215845,1
11281,1
213438,1
53332,1
401696,1
201936,1
6700,1
213232,1
3311,1
34989,1
17488,1
2514,1
329128,1
2675,1
39134,1
37684,1
25649,1
327766,1
15699,1
205193,1
400797,1
197816,1
8669,1
400513,1
45420,1
200000,1
58487,1
60362,1
206170,1
133050,1
61144,1
53850,1
44160,1
10798,1
57724,1
57352,1
203897,1
394432,1
3320,1
328754,1
37027,1
202656,1
37610,1
32298,1
399358,1
34993,1
14472,1
135377,1
202368,1
214685,1
203461,1
43641,1
46864,1
7040,1
211942,1
393299,1
32494,1
201106,1
14117,1
49665,1
13030,1
1273,1
61049,1
61573,1
8231,1
48571,1
8529,1
64126,1
1000,1
131073,1
18377,1
262427,1
37251,1
327788,1
132602,1
9730,1
9059,1
393689,1
202024,1
200928,1
56341,1
12843,1
48669,1
17363,1
9605,1
26277,1
201706,1
39825,1
8473,1
16907,1
19084,1
132335,1
41690,1
200514,1
