asn,nb_hostnames
395747,3319
21664,2238
213120,1378
394192,650
394507,249
19551,220
8075,215
22414,96
35540,80
2635,73
62567,52
35280,39
39572,34
33208,34
14853,33
10753,29
31936,23
22720,23
33265,22
215859,22
30148,21
213232,20
399566,19
63293,18
53824,18
36420,17
59692,17
3457,16
15317,16
14907,15
60068,15
200325,12
18945,12
27589,12
205585,12
40824,12
1761,11
10480,11
53667,10
22194,9
54994,9
214455,9
51433,9
3599,8
133795,8
60781,8
6496,8
8987,8
33157,8
37963,8
6427,7
49676,7
39936,7
30340,7
64437,7
395458,7
45090,7
17289,7
3136,6
49612,6
204915,6
26666,6
50989,6
63410,6
81,6
202425,6
6698,6
47422,6
9764,6
63199,5
19902,5
23576,5
22017,5
8560,5
398291,5
10879,5
53976,5
6356,5
17025,5
32903,5
27223,5
139341,5
60248,5
6185,5
38365,5
17668,5
33664,5
36356,5
206264,4
19324,4
49714,4
44534,4
8070,4
13695,4
31822,4
12064,4
202368,4
27563,4
8001,4
12178,4
7859,4
137409,4
26854,4
32632,4
50482,4
37662,4
41722,4
62768,4
12956,4
328137,4
19653,4
24482,4
24600,4
28320,4
6762,4
18881,4
56696,4
7589,4
132337,4
15605,4
28398,4
19422,4
3844,4
1916,4
8195,4
328832,4
6057,4
263945,4
26752,4
5761,4
7979,4
10389,4
24572,4
46864,4
21787,4
401200,4
7203,4
27522,4
36080,3
207970,3
199218,3
204544,3
400275,3
8103,3
15149,3
54593,3
21513,3
395605,3
215740,3
16848,3
44907,3
63240,3
52468,3
45352,3
136373,3
6327,3
52320,3
17984,3
9015,3
49287,3
19782,3
61568,3
29169,3
200039,3
132045,3
20764,3
2027,3
13786,3
51530,3
196753,3
64475,3
207841,3
270014,3
44684,3
35589,3
23520,3
48641,3
35360,3
8708,3
15958,3
2614,3
14016,3
35600,3
38726,3
1031,3
29049,3
4134,3
35598,3
264409,3
52025,3
50628,3
14537,3
205920,3
15802,3
19110,3
54641,3
200651,3
19927,3
35908,3
58061,3
401764,3
21852,3
53755,3
23816,3
36516,3
9760,3
46513,3
29992,3
7941,3
26496,3
13348,3
11273,3
20033,3
23522,2
40238,2
138650,2
13506,2
61098,2
16839,2
53269,2
44932,2
45370,2
38369,2
10840,2
22016,2
23470,2
797,2
56898,2
204601,2
33182,2
12322,2
14017,2
393601,2
14340,2
37936,2
399358,2
200019,2
48434,2
4386,2
33167,2
40539,2
32090,2
26461,2
12152,2
18310,2
201744,2
399740,2
62856,2
11773,2
18529,2
212216,2
60281,2
62821,2
51852,2
27021,2
26347,2
13450,2
19383,2
512,2
215402,2
200324,2
33127,2
25602,2
10405,2
22221,2
40584,2
15164,2
6325,2
12640,2
393931,2
27647,2
394896,2
21833,2
42567,2
14824,2
30109,2
3719,2
3676,2
6559,2
3768,2
18905,2
394572,2
397849,2
11651,2
26247,2
393874,2
17156,2
49981,2
14576,2
5048,2
34369,2
215300,2
32337,2
13601,2
33191,2
49025,2
30058,2
1631,2
12171,2
14985,2
23104,2
26978,2
19973,2
14113,2
140290,2
32866,2
771,2
43211,1
27203,1
25978,1
5182,1
19133,1
3926,1
15033,1
39020,1
395811,1
21712,1
395594,1
25,1
20352,1
27267,1
33235,1
22083,1
3387,1
46844,1
393581,1
31777,1
32888,1
393400,1
54840,1
13892,1
22945,1
394049,1
46930,1
15273,1
23067,1
21694,1
32022,1
29066,1
15703,1
394358,1
54053,1
394931,1
21581,1
3851,1
31937,1
207569,1
17190,1
3464,1
10297,1
395650,1
207728,1
11915,1
50214,1
32094,1
62243,1
589,1
19225,1
14693,1
21673,1
212792,1
59441,1
36850,1
208161,1
26822,1
23033,1
40428,1
19648,1
138627,1
6527,1
63444,1
23435,1
30165,1
11197,1
62068,1
8069,1
393689,1
10695,1
395447,1
56655,1
393674,1
177,1
989,1
5774,1
36818,1
47059,1
45894,1
40509,1
33083,1
11831,1
32726,1
397341,1
13429,1
32707,1
32104,1
34947,1
4792,1
30387,1
18,1
46901,1
15130,1
54288,1
53352,1
36807,1
395412,1
205373,1
36319,1
2939,1
11995,1
59796,1
7116,1
393299,1
32494,1
201106,1
14117,1
49665,1
13030,1
1273,1
61049,1
61573,1
8231,1
48571,1
8529,1
64126,1
1000,1
131073,1
18377,1
262427,1
37251,1
329356,1
132602,1
9730,1
19976,1
13572,1
54649,1
395162,1
46236,1
11833,1
40384,1
26554,1
393579,1
394432,1
4454,1
207208,1
35634,1
399647,1
19147,1
205193,1
23352,1
26403,1
12678,1
11837,1
7459,1
26011,1
20126,1
398381,1
14744,1
4694,1
215467,1
35937,1
13791,1
5696,1
205762,1
65115,1
21666,1
14821,1
17164,1
40229,1
25963,1
36693,1
394085,1
27264,1
4150,1
30600,1
52489,1
263173,1
214390,1
46206,1
203444,1
57352,1
33528,1
397273,1
35744,1
21857,1
394923,1
14745,1
14185,1
62839,1
13998,1
393521,1
19501,1
208058,1
40021,1
40430,1
54665,1
152194,1
393256,1
32219,1
26894,1
4193,1
62802,1
29813,1
23024,1
63993,1
41690,1
36859,1
30246,1
11353,1
44386,1
46409,1
7726,1
30464,1
211505,1
21970,1
2544,1
17055,1
200928,1
56341,1
400187,1
26254,1
54643,1
32338,1
394720,1
12118,1
36441,1
215206,1
214685,1
18540,1
3920,1
5723,1
11686,1
22033,1
31586,1
11279,1
36666,1
200195,1
213438,1
11584,1
22312,1
33676,1
11448,1
14827,1
6181,1
14626,1
32397,1
6621,1
36675,1
10912,1
32097,1
10921,1
30036,1
33154,1
19558,1
46971,1
32008,1
398130,1
400513,1
207809,1
14334,1
30083,1
14197,1
29885,1
20,1
55293,1
53317,1
33015,1
14361,1
35858,1
23784,1
196752,1
43641,1
131106,1
21704,1
46475,1
395352,1
22612,1
35847,1
25713,1
21517,1
34918,1
1932,1
14472,1
14441,1
199524,1
8076,1
204800,1
14946,1
675,1
53984,1
400012,1
159,1
23548,1
39392,1
40043,1
44244,1
46440,1
24961,1
16490,1
26153,1
41000,1
11294,1
5972,1
32371,1
20335,1
26305,1
22523,1
397060,1
397733,1
396318,1
396458,1
401817,1
42745,1
21512,1
39686,1
393529,1
397369,1
40831,1
22653,1
395723,1
30193,1
27482,1
394112,1
101,1
55291,1
22625,1
397396,1
53332,1
33443,1
18788,1
19546,1
7784,1
398875,1
21994,1
33512,1
136190,1
135054,1
38019,1
4837,1
46401,1
54555,1
26371,1
21121,1
48729,1
18456,1
5101,1
23314,1
50980,1
19969,1
46691,1
40062,1
26848,1
22474,1
29888,1
46119,1
61210,1
7800,1
11015,1
7011,1
26975,1
11787,1
26283,1
1415,1
46785,1
36066,1
34222,1
19785,1
22320,1
11281,1
12250,1
32780,1
20442,1
11047,1
3361,1
6289,1
399398,1
11424,1
211922,1
12179,1
2571,1
17242,1
394666,1
32309,1
18693,1
19720,1
44696,1
31080,1
62563,1
398413,1
36651,1
398072,1
36373,1
13859,1
63103,1
14155,1
23441,1
9952,1
9688,1
1252,1
20264,1
216071,1
16931,1
401653,1
5653,1
18182,1
46309,1
55209,1
200449,1
20469,1
25720,1
396206,1
397497,1
62813,1
43358,1
1312,1
16900,1
42532,1
43955,1
397093,1
216014,1
30710,1
36459,1
3728,1
4258,1
18527,1
22315,1
8030,1
398256,1
36706,1
141995,1
14417,1
61144,1
21633,1
398851,1
6352,1
55106,1
26042,1
25864,1
15305,1
40139,1
51025,1
57088,1
46600,1
47024,1
36596,1
15196,1
24611,1
3512,1
400655,1
54244,1
213784,1
29919,1
21553,1
35916,1
397605,1
11334,1
13830,1
225,1
400672,1
197816,1
26584,1
15147,1
396146,1
46701,1
22489,1
64422,1
11659,1
400561,1
23309,1
12005,1
393247,1
139144,1
215845,1
24971,1
10490,1
26928,1
