asn,nb_hostnames
395747,3143
21664,1330
6057,947
213120,859
394507,471
394192,325
204915,206
35540,179
8075,156
63410,150
10480,143
215859,139
62567,104
1797,96
53824,74
23352,67
19551,58
27823,58
14441,53
46606,52
39572,47
60068,41
2635,40
61442,39
54641,39
26496,32
31936,27
8560,26
266886,25
63293,22
11664,22
22612,21
14853,21
19422,20
133795,20
204800,20
36420,19
15317,19
12178,18
30961,18
26347,18
3457,17
14907,17
214455,16
60781,16
26666,15
395111,15
40021,14
20255,13
205193,13
33182,13
55293,13
39020,13
7979,12
53861,12
52580,12
48254,11
200325,11
59692,10
31577,10
42612,10
30148,10
49612,9
40699,9
22185,9
40824,9
141995,8
10983,8
24971,8
11014,8
7203,8
213232,8
43641,7
203178,7
400754,7
266660,7
200521,7
200019,7
12322,7
10753,7
35280,6
202425,6
18747,6
64437,6
6496,6
56958,6
401200,6
6698,6
9094,6
37963,5
27647,5
8048,5
139144,5
25354,5
30277,5
53667,5
50989,5
58521,5
14555,5
32780,5
33157,5
395458,5
17668,5
215300,4
54994,4
202242,4
27589,4
205796,4
206264,4
14234,4
58061,4
42532,4
34699,4
3352,4
197712,4
200449,4
328832,4
17025,4
199524,4
45090,4
61976,3
24961,3
52148,3
394727,3
6185,3
44907,3
27267,3
36080,3
5761,3
264649,3
262885,3
23576,3
44534,3
49714,3
273584,3
42567,3
28008,3
13442,3
20002,3
46844,3
196752,3
22049,3
50482,3
37662,3
41722,3
62768,3
12956,3
328137,3
19653,3
24600,3
28320,3
6762,3
18881,3
56696,3
132337,3
15605,3
28398,3
3844,3
1916,3
8195,3
263945,3
14117,3
36066,3
34222,3
6427,3
16814,3
7941,3
200960,3
58065,3
22720,3
202054,2
32338,2
262258,2
204601,2
20068,2
47195,2
203976,2
62068,2
49981,2
16701,2
52361,2
139341,2
398385,2
208769,2
398787,2
14576,2
38369,2
33191,2
28604,2
199968,2
197540,2
200320,2
30083,2
138341,2
14824,2
54290,2
5377,2
52318,2
24482,2
400513,2
16371,2
10954,2
64161,2
12678,2
397849,2
8739,2
137409,2
6724,2
63993,2
52241,2
4258,2
200508,2
201744,2
202492,2
199242,2
207970,2
264713,2
397423,2
393299,2
32494,2
201106,2
49665,2
13030,2
1273,2
61049,2
61573,2
8231,2
48571,2
8529,2
64126,2
1000,2
131073,2
18377,2
262427,2
37251,2
329356,2
132602,2
9730,2
62243,2
53107,2
20207,2
49635,2
35744,2
271803,2
200195,2
40476,2
49287,2
396356,2
42240,2
35589,2
47422,2
13348,2
4149,1
12357,1
26277,1
197772,1
201706,1
39686,1
61098,1
8987,1
57542,1
204039,1
13474,1
52797,1
14340,1
131965,1
267909,1
3920,1
15201,1
22653,1
19648,1
33349,1
28526,1
2780,1
41976,1
61144,1
56872,1
3387,1
26752,1
55272,1
47836,1
393689,1
60922,1
212096,1
12993,1
46475,1
138650,1
52438,1
33185,1
213737,1
28299,1
52270,1
28178,1
33083,1
265884,1
53755,1
19853,1
266400,1
51468,1
270764,1
207569,1
46562,1
60550,1
51852,1
27223,1
22552,1
30340,1
60144,1
28103,1
207481,1
33676,1
20264,1
399358,1
11041,1
198032,1
50980,1
56898,1
215740,1
29222,1
57344,1
44998,1
19969,1
52489,1
263173,1
45037,1
27862,1
14840,1
676,1
39134,1
393874,1
30880,1
198968,1
34119,1
52227,1
262237,1
61210,1
206980,1
28753,1
15149,1
55081,1
63240,1
52468,1
45352,1
136373,1
6327,1
52320,1
17984,1
9015,1
19782,1
61568,1
29169,1
200039,1
132045,1
20764,1
2027,1
13786,1
51530,1
196753,1
64475,1
207841,1
270014,1
44684,1
23520,1
48641,1
35360,1
8708,1
7589,1
15958,1
2614,1
14016,1
35600,1
38726,1
1031,1
29049,1
4134,1
35598,1
264409,1
52025,1
50628,1
14537,1
205920,1
15802,1
198792,1
41690,1
45420,1
212792,1
14627,1
12640,1
395162,1
15703,1
8361,1
27988,1
42220,1
64999,1
32632,1
22194,1
42160,1
42730,1
15685,1
215402,1
52011,1
29066,1
36165,1
200651,1
2514,1
207728,1
214390,1
16839,1
30058,1
19393,1
53332,1
216154,1
278,1
399566,1
28310,1
268581,1
31617,1
214505,1
24611,1
268764,1
23470,1
42422,1
214124,1
48324,1
398743,1
41231,1
23522,1
11281,1
31586,1
19324,1
139057,1
213119,1
13830,1
58212,1
397273,1
57352,1
205544,1
202675,1
36850,1
213438,1
1251,1
214308,1
34309,1
59796,1
199218,1
50474,1
60114,1
17216,1
56803,1
211922,1
210976,1
25575,1
8473,1
39825,1
205762,1
65115,1
27263,1
160,1
16556,1
36459,1
10697,1
394303,1
8069,1
7465,1
200928,1
56341,1
15083,1
