asn,nb_hostnames
395747,2849
8193,800
21664,509
213120,304
16276,230
215859,224
394507,216
61976,173
57724,170
39572,166
394192,153
207728,140
49352,130
29182,115
198610,113
31492,110
39032,105
48979,101
58061,98
9123,83
59467,82
62567,81
43647,79
204601,73
8075,72
60781,68
13238,62
49714,62
5545,60
210390,58
49981,57
210656,50
52000,46
59692,45
207970,44
43060,42
201706,37
31936,36
207208,35
204915,34
200019,33
40824,32
213029,30
202492,30
32338,30
48040,30
49665,30
37963,29
35326,27
35576,27
35682,27
43298,26
214455,25
14907,24
41202,24
211381,24
212860,23
44256,23
210079,22
50482,21
210756,21
12322,19
200532,19
6697,17
48282,17
24961,17
19551,16
210774,16
49424,16
44310,16
17668,16
26496,16
29066,15
56694,15
59601,15
63293,15
141995,14
7979,14
44477,14
44696,14
30818,13
60144,13
27589,13
17025,13
395458,13
204039,13
41722,12
216139,12
216206,12
211612,12
12365,12
44812,12
200449,12
42745,12
44907,12
42532,12
8920,12
205312,12
211642,12
6496,11
206980,11
201499,11
133795,11
199867,11
44094,10
204343,10
38369,10
24600,10
3844,9
28398,9
18881,9
12956,9
263945,9
328832,9
8195,9
10753,9
6057,9
62768,9
132337,9
19653,9
6762,9
328137,9
28320,9
37662,9
15605,9
19422,9
56696,9
1916,9
49287,9
39134,9
35425,9
59939,9
25532,9
45090,9
210644,9
210976,8
36420,8
206407,8
58254,8
51852,8
44128,8
204450,8
42240,8
393299,7
32494,7
201106,7
14117,7
13030,7
1273,7
61049,7
61573,7
8231,7
48571,7
8529,7
64126,7
1000,7
131073,7
18377,7
6939,7
262427,7
37251,7
327788,7
132602,7
9730,7
139341,7
214744,7
206264,7
44901,7
200325,7
62243,7
14576,7
46606,7
22612,7
56898,7
58521,7
59668,7
204770,7
48287,7
208795,6
44112,6
20661,6
52130,6
57016,6
62082,6
216475,6
43533,6
201512,6
50448,6
202425,6
57352,6
203087,6
61106,6
50979,6
57304,6
60330,5
216071,5
52167,5
24482,5
47522,5
216154,5
51248,5
2635,5
48684,5
12555,5
212082,5
64437,5
64466,5
17841,5
205865,5
61400,5
14853,5
7203,5
63240,4
52468,4
45352,4
136373,4
6327,4
52320,4
17984,4
8919,4
396390,4
61568,4
29169,4
45517,4
20764,4
137409,4
2027,4
13786,4
51530,4
196753,4
64475,4
207841,4
270014,4
136620,4
5381,4
23520,4
48641,4
35360,4
8708,4
7589,4
15958,4
2614,4
14016,4
35600,4
38726,4
1031,4
29049,4
36678,4
35598,4
264409,4
52025,4
50628,4
14537,4
205920,4
15802,4
60922,4
8069,4
213887,4
205516,4
44386,4
26666,4
32097,4
51508,4
49273,4
213479,4
30058,4
212136,4
