asn,nb_hostnames
395747,829
21664,304
213120,299
394192,139
394507,105
39572,40
8075,36
62567,30
398901,27
31936,24
7979,20
2635,20
215859,20
204915,15
16276,15
214455,14
19551,14
63293,14
14853,13
26496,10
133795,7
30148,7
46606,7
15699,6
33837,5
5545,5
215740,5
54641,5
26666,4
36420,4
8560,4
44907,4
14907,4
40824,4
211612,4
55033,4
54994,3
13601,3
46408,3
199524,3
400754,3
5761,3
200325,3
6185,3
49714,2
13238,2
10480,2
34655,2
58061,2
19720,2
55293,2
53824,2
19785,2
59692,2
40021,2
36057,2
786,2
200019,2
12178,2
60781,2
7941,2
214124,2
4258,2
7859,2
401200,2
11139,2
28067,2
33265,2
6698,2
19225,2
2514,1
9059,1
26347,1
61976,1
41000,1
63362,1
50980,1
3387,1
62243,1
27264,1
4150,1
30600,1
22049,1
210250,1
702,1
53332,1
23576,1
36850,1
11281,1
31586,1
206264,1
22653,1
37963,1
205373,1
46844,1
64437,1
6496,1
208561,1
30109,1
60114,1
22720,1
9009,1
18945,1
33512,1
7203,1
26978,1
47846,1
24971,1
31727,1
24282,1
46475,1
202425,1
398743,1
13830,1
214390,1
61144,1
16496,1
36352,1
394572,1
51852,1
398787,1
393689,1
5639,1
38369,1
35744,1
399358,1
36080,1
3920,1
22612,1
36459,1
58521,1
214073,1
32338,1
200195,1
213438,1
48729,1
24611,1
400797,1
204800,1
36066,1
139341,1
200044,1
41690,1
13450,1
24482,1
393874,1
48669,1
14441,1
62082,1
54290,1
14813,1
44009,1
397849,1
10578,1
27665,1
63410,1
