asn,nb_hostnames
395747,4063
21664,1164
213120,548
394507,513
394192,377
35540,260
8048,231
23352,174
62567,139
204915,119
8075,113
215859,95
26496,80
22612,73
39572,71
26666,54
2635,47
37963,46
40021,43
19551,42
21980,39
46606,39
60068,37
8560,32
31936,32
133795,31
6306,31
141995,29
30148,28
214455,27
14853,27
63293,24
7979,22
10480,21
15317,21
14441,20
205193,19
48254,19
10753,19
36420,18
47846,17
60781,17
11562,16
204800,16
39020,15
3457,15
59692,15
6496,15
27823,15
8100,14
53667,14
54641,14
40824,14
17668,13
12178,12
27589,11
139341,11
14907,11
49612,11
30961,10
63410,10
34119,10
30083,10
38369,10
53824,10
200019,10
7203,10
58521,9
264731,9
55293,9
14117,9
18881,9
8053,8
31577,8
11878,8
11041,8
58061,8
200325,8
23470,8
328832,8
6057,8
6427,8
21826,8
54913,8
395458,8
6698,8
60602,7
44907,7
42612,7
35280,7
33182,7
3844,7
28398,7
12956,7
263945,7
8195,7
62768,7
17025,7
132337,7
19653,7
6762,7
328137,7
41722,7
28320,7
37662,7
24600,7
15605,7
19422,7
56696,7
1916,7
50482,7
401200,7
20312,7
42532,7
199524,7
49981,6
23007,6
393299,6
32494,6
201106,6
49665,6
13030,6
1273,6
61049,6
61573,6
8231,6
48571,6
8529,6
64126,6
1000,6
131073,6
18377,6
262427,6
37251,6
329356,6
132602,6
9730,6
206264,6
64437,6
12640,6
214124,6
36080,6
45090,6
22720,6
56958,5
26347,5
50989,5
150078,5
53107,5
12322,5
54994,5
27862,5
397423,5
47195,5
264628,5
52386,4
198968,4
398787,4
216014,4
60144,4
215300,4
49635,4
19192,4
25354,4
29066,4
55470,4
273584,4
200960,4
200521,4
202425,4
202492,4
61976,4
13442,4
397273,4
6185,4
139144,4
48040,4
213232,4
199218,4
18747,3
56898,3
397849,3
40699,3
199968,3
63173,3
8069,3
200449,3
52285,3
14555,3
269730,3
139057,3
46475,3
151373,3
33265,3
14576,3
400754,3
198610,3
216017,3
29691,3
34222,3
135377,3
32097,3
15699,3
62068,3
202242,3
36165,3
7226,3
3352,3
33185,3
48729,3
24961,3
23576,3
203178,3
59253,3
61461,3
400275,3
42567,3
269827,3
262176,3
34699,3
33157,3
7965,3
49714,3
44534,3
49287,3
9094,3
264713,2
62243,2
140688,2
1897,2
150436,2
52341,2
204601,2
36459,2
53755,2
16371,2
215845,2
29182,2
44128,2
40476,2
14824,2
28753,2
14315,2
2514,2
60526,2
399358,2
216154,2
200651,2
202054,2
138341,2
36066,2
27782,2
44521,2
13830,2
63760,2
27831,2
263767,2
19181,2
269918,2
272102,2
208769,2
201744,2
50980,2
42745,2
9760,2
278,2
12129,2
205796,2
215322,2
50474,2
44477,2
43641,2
393874,2
40100,2
271907,2
269820,2
22726,2
269954,2
9123,2
210250,2
272118,2
264837,2
29169,2
137409,2
24482,2
33191,2
396356,2
203280,2
3132,2
5761,2
215740,2
207970,2
55286,2
24611,2
199867,2
30340,2
46844,2
32338,2
6724,2
11556,2
203976,2
269832,2
56694,2
8065,2
7941,2
271803,2
12678,2
49791,2
42240,2
47422,2
197540,2
62563,2
20033,2
13348,2
771,2
15967,1
49127,1
11273,1
34360,1
20847,1
61306,1
211922,1
45420,1
27864,1
399522,1
267703,1
6352,1
198983,1
15130,1
61144,1
19324,1
394684,1
10954,1
42220,1
8739,1
131965,1
203417,1
12843,1
200356,1
4200000021,1
137718,1
4835,1
59467,1
395226,1
262168,1
46440,1
205544,1
15149,1
3262,1
16912,1
57088,1
14415,1
394303,1
49352,1
36352,1
39686,1
3387,1
34655,1
60503,1
32780,1
10929,1
133409,1
271814,1
262253,1
25697,1
208561,1
60362,1
60922,1
37153,1
52148,1
42730,1
35916,1
216071,1
263237,1
263208,1
131106,1
32645,1
65099,1
267892,1
200508,1
27686,1
27522,1
12064,1
59524,1
35975,1
211381,1
15479,1
394727,1
7393,1
28299,1
34432,1
196713,1
216139,1
51678,1
205275,1
54552,1
60550,1
272018,1
52580,1
400104,1
58212,1
206980,1
394432,1
267809,1
142592,1
206102,1
205312,1
395048,1
399566,1
3273,1
64512,1
12338,1
206407,1
51894,1
271825,1
20677,1
27968,1
27716,1
393960,1
4694,1
47836,1
50332,1
18779,1
272119,1
9752,1
134688,1
27715,1
55569,1
56803,1
200000,1
30277,1
271909,1
28103,1
54288,1
43520,1
60114,1
400513,1
15685,1
200514,1
7859,1
8796,1
33676,1
211864,1
57344,1
55960,1
207143,1
12357,1
200928,1
56341,1
197772,1
42295,1
23033,1
210656,1
63240,1
52468,1
45352,1
136373,1
6327,1
52320,1
17984,1
9015,1
19782,1
61568,1
200039,1
132045,1
20764,1
2027,1
13786,1
51530,1
196753,1
64475,1
207841,1
270014,1
44684,1
35589,1
23520,1
48641,1
35360,1
8708,1
7589,1
15958,1
2614,1
14016,1
35600,1
38726,1
1031,1
29049,1
4134,1
35598,1
264409,1
52025,1
50628,1
14537,1
205920,1
15802,1
52130,1
56872,1
212096,1
200487,1
200532,1
51852,1
211611,1
22860,1
262237,1
138650,1
57687,1
30880,1
58851,1
265839,1
20068,1
27223,1
269750,1
55593,1
394590,1
965,1
198993,1
267701,1
215402,1
27482,1
272134,1
31586,1
39134,1
152880,1
200320,1
272993,1
8987,1
60368,1
52489,1
263173,1
57352,1
27892,1
26752,1
212363,1
206205,1
32369,1
54290,1
205762,1
65115,1
11807,1
48763,1
19978,1
27264,1
4150,1
30600,1
22653,1
41976,1
42422,1
32903,1
35744,1
265667,1
33387,1
30058,1
44901,1
61317,1
12993,1
53038,1
61098,1
204039,1
3920,1
61471,1
214273,1
55081,1
34309,1
61210,1
11432,1
24898,1
271791,1
197664,1
29893,1
3816,1
272809,1
52438,1
8473,1
39825,1
16814,1
26277,1
214390,1
51605,1
400940,1
18945,1
214308,1
29222,1
53332,1
212792,1
19373,1
9009,1
393689,1
206216,1
398743,1
198792,1
27640,1
41690,1
11281,1
40728,1
207569,1
25820,1
264848,1
28526,1
12521,1
197712,1
24971,1
200195,1
213438,1
40065,1
27889,1
202521,1
207728,1
265641,1
27893,1
207809,1
269749,1
