asn,nb_hostnames
395747,237
213120,143
21664,107
394192,68
394507,59
8075,19
39572,10
31936,9
11139,9
62567,9
63293,8
14853,8
16276,6
214455,6
46606,6
19551,6
30148,4
2635,4
211612,4
200325,3
22069,3
7979,3
14907,3
26496,3
5761,2
204915,2
36352,2
26666,2
401200,2
53824,2
12178,2
60781,2
14441,2
22612,2
213232,2
133795,2
215859,2
20033,2
11281,1
48669,1
36420,1
13601,1
40476,1
702,1
64437,1
5639,1
3457,1
55293,1
23470,1
393874,1
399937,1
18747,1
58061,1
46475,1
22653,1
33265,1
7941,1
36459,1
141995,1
6185,1
15685,1
18738,1
398787,1
22720,1
396357,1
41690,1
13694,1
27264,1
4150,1
30600,1
208561,1
3387,1
200195,1
213438,1
6698,1
50980,1
44907,1
34655,1
