asn,nb_hostnames
395747,703
213120,503
21664,417
394192,211
394507,147
8075,46
2635,36
19551,30
14853,20
39572,18
62567,17
31936,14
63293,12
35540,11
401200,11
26496,10
214455,9
30148,8
14907,7
60068,7
46606,6
49714,5
44534,5
200325,5
204915,5
6185,5
54641,5
53824,5
22720,5
215859,4
213232,4
59467,4
40476,4
133795,4
50989,4
60781,4
207970,4
22903,3
7859,3
702,3
7979,3
35280,3
5761,3
393275,3
44907,3
62243,3
8560,3
33265,3
398787,3
62856,3
19110,3
13348,3
26978,2
26347,2
7941,2
46093,2
29992,2
199524,2
22194,2
6427,2
10480,2
36066,2
398291,2
6698,2
56341,2
797,2
26752,2
36420,2
12178,2
49612,2
30109,2
398402,2
201012,2
13568,2
22414,2
18945,2
398946,2
11273,2
20033,2
394572,1
201512,1
44386,1
32645,1
65099,1
23470,1
15176,1
26666,1
57344,1
13788,1
47000,1
27715,1
50980,1
46691,1
400992,1
15685,1
4258,1
36459,1
3387,1
139144,1
29182,1
141995,1
59692,1
14340,1
15147,1
37963,1
13506,1
20388,1
11139,1
13601,1
12640,1
15299,1
398851,1
46475,1
12092,1
399358,1
24611,1
41690,1
11281,1
25837,1
13897,1
397497,1
22049,1
27647,1
19531,1
54994,1
55293,1
24482,1
34147,1
23352,1
58061,1
39936,1
33191,1
54913,1
43298,1
203444,1
40428,1
10389,1
197482,1
27264,1
4150,1
30600,1
16839,1
22653,1
48669,1
22612,1
64437,1
30606,1
34655,1
30464,1
393689,1
200195,1
213438,1
33157,1
31727,1
47577,1
10732,1
61969,1
60114,1
399740,1
20243,1
22625,1
20355,1
55017,1
22319,1
12357,1
58722,1
393874,1
33664,1
6352,1
30246,1
40021,1
