asn,nb_hostnames
395747,4478
21664,984
135905,386
18403,289
45898,274
213120,269
394507,262
7552,214
38731,188
134481,168
394192,139
63760,112
45544,89
16276,65
2635,64
8075,63
39572,56
204915,54
37963,53
38244,51
140766,46
214455,43
62567,43
395458,43
54994,42
19551,42
7979,40
131392,39
135967,38
204450,38
38369,35
151858,35
140801,34
133795,34
131384,34
131353,31
24176,31
17668,29
139341,28
215859,28
328832,25
6496,25
135914,24
17025,24
50482,24
37662,24
41722,24
10753,24
62768,24
12956,24
328137,24
19653,24
24600,24
28320,24
6762,24
18881,24
56696,24
132337,24
15605,24
28398,24
19422,24
3844,24
1916,24
8195,24
6057,24
263945,24
38726,22
131429,22
36678,22
135944,21
5545,20
137409,20
24482,20
49287,20
55305,19
63240,19
52468,19
45352,19
136373,19
6327,19
52320,19
17984,19
8919,19
396390,19
61568,19
29169,19
52167,19
45517,19
20764,19
2027,19
13786,19
51530,19
196753,19
64475,19
207841,19
270014,19
136620,19
5381,19
23520,19
48641,19
35360,19
8708,19
7589,19
15958,19
2614,19
14016,19
35600,19
1031,19
29049,19
35598,19
264409,19
52025,19
50628,19
14537,19
205920,19
15802,19
63733,18
56153,17
7643,17
31936,16
138341,16
135918,16
58521,15
63293,15
14907,15
211612,15
14853,15
135951,13
131425,13
131426,12
131423,12
141995,12
26496,12
59253,11
45894,11
149146,11
23576,11
45090,11
133752,10
200325,10
149145,10
9764,10
131414,9
45542,9
56149,9
135932,9
135912,9
42532,9
56141,8
30148,8
131386,8
59692,8
135978,8
131363,7
3457,7
63731,7
60781,7
13442,7
22612,7
38727,7
149143,7
24572,7
23999,7
44907,6
131438,6
58061,6
9760,6
140810,6
131357,6
150905,6
140825,6
23816,6
150861,5
135983,5
151917,5
149068,5
38738,5
131366,5
154053,5
208770,5
149118,5
9688,5
140829,5
133210,5
135360,5
140688,5
140818,5
63743,5
393299,5
32494,5
201106,5
14117,5
49665,5
13030,5
1273,5
61049,5
61573,5
8231,5
48571,5
8529,5
64126,5
1000,5
131073,5
18377,5
6939,5
262427,5
37251,5
327788,5
132602,5
9730,5
53667,5
6698,5
38248,4
153003,4
131428,4
149135,4
131368,4
150436,4
149069,4
149109,4
38251,4
49714,4
13238,4
151373,4
131374,4
45543,4
63139,4
152947,4
135901,4
24088,4
199524,4
131397,3
63759,3
37936,3
200019,3
149074,3
135956,3
131381,3
131436,3
33191,3
149154,3
139057,3
135942,3
396986,3
4837,3
207970,3
150911,3
135920,3
26666,3
14441,3
150837,3
38734,3
33837,3
400104,3
135925,3
29066,3
49981,3
151866,3
10480,3
64437,3
63199,3
6185,3
131138,3
135994,2
397849,2
24086,2
55318,2
36420,2
3361,2
140768,2
55316,2
55306,2
45370,2
140828,2
7941,2
202053,2
38019,2
140759,2
131390,2
20068,2
131382,2
131383,2
131404,2
131364,2
150890,2
135974,2
149156,2
398256,2
150862,2
4694,2
62243,2
139144,2
202425,2
135922,2
38730,2
149098,2
49352,2
27589,2
42567,2
153013,2
63742,2
51852,2
5761,2
63740,2
9952,2
135917,2
18310,2
40824,2
149089,2
200651,2
45541,2
202492,2
140928,2
131408,2
135958,2
131378,2
131398,2
131405,2
55311,2
24175,2
55532,2
149085,2
135952,2
149157,2
140770,2
7203,2
394432,2
12678,1
55569,1
7003,1
32338,1
200195,1
213438,1
149656,1
151903,1
152645,1
140751,1
140830,1
46475,1
152644,1
63730,1
63732,1
149096,1
12178,1
3204,1
63765,1
149113,1
135934,1
136191,1
135054,1
58563,1
63736,1
393874,1
45366,1
152955,1
38253,1
55309,1
131413,1
140764,1
151911,1
135957,1
216047,1
38249,1
135955,1
205762,1
65115,1
207809,1
56147,1
9707,1
58788,1
140748,1
150846,1
55323,1
397273,1
63751,1
12322,1
131659,1
44477,1
24256,1
131358,1
58740,1
401696,1
2514,1
135953,1
44386,1
131106,1
204601,1
151863,1
38735,1
209800,1
149127,1
150864,1
43180,1
57352,1
38700,1
207713,1
214390,1
149161,1
55313,1
131427,1
50113,1
63768,1
54288,1
135961,1
4818,1
131344,1
40728,1
149130,1
399358,1
3387,1
46606,1
24611,1
131349,1
153413,1
400343,1
45985,1
210976,1
139880,1
57088,1
197540,1
4808,1
23724,1
24971,1
55293,1
38247,1
3920,1
17252,1
35916,1
393689,1
24174,1
135909,1
152194,1
138415,1
26347,1
131130,1
47137,1
41690,1
152949,1
7671,1
150821,1
36459,1
135986,1
140762,1
135980,1
214073,1
131369,1
63766,1
150872,1
23470,1
140799,1
214124,1
34222,1
142594,1
4792,1
131125,1
11106,1
3758,1
205193,1
56898,1
131418,1
38661,1
3728,1
140290,1
27647,1
15699,1
9009,1
133847,1
31727,1
206264,1
215402,1
56158,1
29091,1
9578,1
142002,1
33387,1
132680,1
131435,1
200449,1
135915,1
149640,1
131127,1
7506,1
135963,1
11281,1
24961,1
198547,1
24066,1
25234,1
9752,1
61210,1
55322,1
17816,1
56160,1
215845,1
