asn,nb_hostnames
395747,494
213120,165
21664,144
394507,78
394192,75
39572,38
62567,22
31936,21
132228,18
8075,18
19551,14
214455,14
63293,13
14853,11
204915,10
9249,10
215859,9
7979,9
2635,9
4738,7
133795,6
35540,6
14907,6
9280,4
58294,4
50989,4
26496,4
37963,3
5761,3
214124,3
15317,3
36420,3
60781,3
47846,3
58061,2
6185,2
136921,2
23816,2
24572,2
204800,2
27647,2
10480,2
26666,2
44907,2
50624,2
9009,2
38369,2
199524,2
139341,2
202425,2
4258,2
395458,2
47422,2
36459,1
200195,1
213438,1
6698,1
33664,1
53824,1
141995,1
33265,1
59692,1
60068,1
200325,1
38719,1
208561,1
136996,1
3920,1
215740,1
61976,1
34655,1
24611,1
3457,1
18945,1
393689,1
26347,1
54994,1
18310,1
214813,1
399358,1
45666,1
9552,1
50980,1
40824,1
56898,1
32338,1
64437,1
17025,1
50482,1
63240,1
52468,1
45352,1
136373,1
6327,1
37662,1
41722,1
52320,1
10753,1
62768,1
12956,1
17984,1
9015,1
49287,1
19782,1
328137,1
61568,1
29169,1
200039,1
132045,1
20764,1
137409,1
2027,1
19653,1
13786,1
51530,1
196753,1
24482,1
24600,1
28320,1
64475,1
6762,1
207841,1
270014,1
44684,1
18881,1
35589,1
23520,1
56696,1
48641,1
35360,1
8708,1
7589,1
17668,1
132337,1
15958,1
2614,1
14016,1
15605,1
28398,1
35600,1
19422,1
38726,1
1031,1
3844,1
29049,1
4134,1
35598,1
1916,1
264409,1
52025,1
50628,1
14537,1
8195,1
205920,1
328832,1
6496,1
6057,1
263945,1
15802,1
11281,1
12178,1
200019,1
136557,1
63199,1
59939,1
132680,1
30148,1
200000,1
41690,1
399566,1
22653,1
19648,1
22720,1
62082,1
399937,1
38365,1
22612,1
46475,1
206264,1
41653,1
51852,1
53667,1
133096,1
7941,1
132831,1
214390,1
393874,1
56089,1
398256,1
