asn,nb_hostnames
395747,439
213120,142
21664,140
394507,79
394192,63
39572,39
62567,21
19551,20
31936,19
8075,18
17993,17
63293,14
214455,11
14853,9
19648,8
2635,8
7979,7
46606,6
215859,5
204915,5
15699,4
38800,4
50989,4
45179,3
133795,3
38369,3
6185,3
14907,3
37963,3
27589,3
60781,3
5761,3
35540,3
26496,3
4738,3
4258,2
133096,2
50980,2
23352,2
22560,2
59939,2
139828,2
54994,2
44907,2
139341,2
199524,2
214124,2
9009,2
36420,2
4822,2
63410,2
56898,2
139679,2
393874,1
62082,1
34655,1
10480,1
27522,1
9552,1
3920,1
4768,1
59692,1
15317,1
51433,1
200195,1
213438,1
6698,1
132680,1
394603,1
26666,1
8560,1
216071,1
24192,1
7941,1
393689,1
38881,1
206264,1
6724,1
22612,1
48669,1
32338,1
9788,1
22720,1
64073,1
14441,1
11281,1
22653,1
399566,1
24226,1
200019,1
24611,1
3457,1
134433,1
12322,1
61976,1
54641,1
63362,1
10753,1
18945,1
215740,1
213232,1
401200,1
397273,1
41690,1
60068,1
208561,1
46475,1
207970,1
30148,1
36459,1
53755,1
12092,1
64437,1
40824,1
27647,1
399937,1
58061,1
134376,1
