asn,nb_hostnames
395747,4891
21664,723
394507,519
213120,414
204915,276
16276,249
394192,246
215859,172
39572,148
62567,99
7979,93
8075,78
22612,71
30873,67
141995,51
5545,48
31936,45
12486,44
37963,43
26496,43
214455,42
46606,40
32338,39
60781,37
19551,33
133795,32
204800,31
40824,30
47846,29
63293,29
201768,28
53824,23
38369,22
14907,22
3457,21
55293,20
211612,19
14441,18
139341,18
26666,17
12178,17
2635,16
29066,15
30148,15
395458,14
54641,14
6496,13
27589,13
58061,13
49981,13
17668,13
14853,13
44907,12
59692,12
36420,11
46844,11
34400,11
207208,10
200325,10
10753,10
328832,10
12322,10
49610,10
204450,10
17025,9
50482,9
37662,9
41722,9
62768,9
12956,9
328137,9
19653,9
24600,9
28320,9
6762,9
18881,9
56696,9
132337,9
15605,9
28398,9
19422,9
3844,9
1916,9
8195,9
6057,9
263945,9
13442,9
216014,8
57724,8
8560,8
62068,8
13238,8
49714,8
3920,7
56898,7
15699,7
208520,7
52148,7
6185,7
48040,7
61976,7
139144,6
42567,6
64437,6
24482,6
137409,6
215300,6
150078,6
40034,6
61969,6
34119,6
49287,6
398256,6
33182,5
54994,5
395092,5
58521,5
63240,5
52468,5
45352,5
136373,5
6327,5
52320,5
17984,5
8919,5
396390,5
61568,5
29169,5
52167,5
45517,5
20764,5
2027,5
13786,5
51530,5
196753,5
64475,5
207841,5
270014,5
136620,5
5381,5
23520,5
48641,5
35360,5
8708,5
7589,5
15958,5
2614,5
14016,5
35600,5
38726,5
1031,5
29049,5
36678,5
35598,5
264409,5
52025,5
50628,5
14537,5
205920,5
15802,5
62243,5
207970,5
200449,5
33837,5
45090,5
50517,5
199524,5
7203,5
6698,5
46475,4
40021,4
12833,4
214124,4
53667,4
55720,4
26347,4
198610,4
10480,4
29684,4
51894,4
23470,4
35753,4
202425,4
133618,4
24961,4
199729,4
200019,4
200107,4
393299,4
32494,4
201106,4
14117,4
49665,4
13030,4
1273,4
61049,4
61573,4
8231,4
48571,4
8529,4
64126,4
1000,4
131073,4
18377,4
6939,4
262427,4
37251,4
327788,4
132602,4
9730,4
210275,4
8960,4
397273,4
33664,4
33157,4
9009,3
49352,3
206264,3
200651,3
60144,3
32780,3
50980,3
3311,3
197540,3
209003,3
48729,3
58294,3
63760,3
152194,3
14576,3
50979,3
48254,3
7941,3
57775,3
8069,3
35425,3
394497,3
37728,2
24971,2
151373,2
34788,2
205435,2
51975,2
33387,2
27223,2
23352,2
133719,2
9123,2
211942,2
139057,2
204050,2
14627,2
207728,2
5761,2
150436,2
56341,2
48434,2
19905,2
51433,2
136133,2
203976,2
208710,2
28885,2
134963,2
215845,2
28753,2
213797,2
59253,2
140688,2
202492,2
3387,2
23421,2
399358,2
63410,2
43641,2
32097,2
15105,2
36459,2
24611,2
33191,2
13830,2
138341,2
42848,2
51468,2
61102,2
14466,2
199218,2
1842,2
42868,1
8739,1
34920,1
211904,1
9752,1
328654,1
24863,1
42656,1
204846,1
35258,1
204206,1
27500,1
23011,1
36352,1
19973,1
31586,1
15505,1
48287,1
30058,1
202917,1
40680,1
214881,1
25234,1
13886,1
39686,1
34432,1
198032,1
35280,1
205585,1
6848,1
15479,1
14361,1
60362,1
36850,1
12678,1
207569,1
210250,1
47195,1
13041,1
53850,1
63210,1
200928,1
13324,1
44128,1
8705,1
36483,1
395725,1
23522,1
142160,1
393347,1
400754,1
7393,1
48760,1
201744,1
3320,1
8697,1
30848,1
7633,1
393874,1
203268,1
63914,1
55045,1
216139,1
211381,1
203378,1
137517,1
21840,1
2057,1
202368,1
395718,1
44932,1
45753,1
214618,1
22720,1
696,1
201706,1
214390,1
14472,1
212772,1
215322,1
64999,1
32632,1
203214,1
13820,1
208488,1
200000,1
20546,1
34388,1
29544,1
45213,1
54552,1
13601,1
44094,1
136891,1
29182,1
10578,1
11807,1
203417,1
46440,1
204601,1
11281,1
44477,1
60114,1
204770,1
202656,1
11590,1
139456,1
41231,1
4769,1
10297,1
17318,1
44386,1
31458,1
205762,1
65115,1
400797,1
4258,1
43378,1
152880,1
51852,1
51304,1
30036,1
63362,1
27473,1
48109,1
35179,1
139880,1
62744,1
63199,1
39825,1
8473,1
9121,1
2561,1
142592,1
3768,1
199867,1
36131,1
30961,1
3208,1
199330,1
29091,1
40476,1
401605,1
44009,1
138650,1
20641,1
2665,1
47768,1
139884,1
198983,1
7684,1
63297,1
203147,1
61386,1
31727,1
29302,1
140290,1
215402,1
40699,1
49833,1
15138,1
43766,1
11061,1
210656,1
14956,1
61144,1
18229,1
200195,1
213438,1
135905,1
53348,1
148000,1
7859,1
393689,1
26277,1
23576,1
48314,1
204317,1
58689,1
34655,1
6127,1
202024,1
14555,1
12064,1
204039,1
56872,1
209853,1
62563,1
34222,1
19324,1
49474,1
47302,1
50474,1
54290,1
205193,1
17561,1
41690,1
57344,1
51970,1
137331,1
34931,1
394230,1
60819,1
56038,1
27522,1
59467,1
196763,1
57900,1
13627,1
6738,1
29222,1
30340,1
211922,1
57352,1
207304,1
5467,1
53332,1
24282,1
16651,1
200487,1
216154,1
39790,1
52030,1
212490,1
397423,1
198792,1
397849,1
59441,1
