asn,nb_hostnames
395747,946
213120,301
21664,279
16276,210
394507,128
2057,69
394192,65
8075,52
39572,44
24600,42
19551,30
50474,29
62567,29
50583,26
12322,26
8228,25
45666,23
34306,21
57633,16
31936,15
7979,14
60855,14
209349,14
63293,13
25117,13
214455,12
204915,12
8560,12
8839,12
14853,11
14489,9
29222,9
205461,8
200356,8
2635,8
8304,8
53589,8
215859,8
58521,7
48744,7
54994,7
48703,6
50624,6
5545,6
60781,6
213232,6
216353,5
58061,5
48140,5
14907,5
4200000021,5
40824,5
199636,4
133795,4
12640,4
12565,4
33157,4
41653,4
210403,4
6656,4
44907,4
29169,4
9159,3
34993,3
208128,3
60362,3
41233,3
35280,3
213394,3
50446,3
39104,3
5761,3
199758,3
401200,3
51888,3
62068,3
6738,3
6185,3
15401,3
62979,3
43311,2
21000,2
32338,2
48613,2
197562,2
36420,2
49714,2
13238,2
44527,2
210770,2
200019,2
26496,2
205149,2
197161,2
201085,2
22612,2
3259,2
139341,2
15489,2
211612,2
20986,2
208353,2
6496,2
30148,2
12178,2
37963,2
38369,2
17668,2
41191,1
393874,1
23576,1
13193,1
1301,1
52034,1
200107,1
50980,1
199524,1
64437,1
211068,1
198792,1
59253,1
5410,1
47293,1
20546,1
197696,1
59692,1
198066,1
206264,1
44696,1
44880,1
59689,1
53303,1
40994,1
60550,1
211316,1
208276,1
199167,1
197505,1
9180,1
394277,1
202321,1
3920,1
11281,1
13571,1
39241,1
212815,1
213466,1
212216,1
9009,1
6698,1
199777,1
207970,1
46606,1
200102,1
30109,1
48669,1
197788,1
8554,1
34235,1
34655,1
203461,1
208789,1
61976,1
20900,1
24611,1
39444,1
44477,1
41690,1
393299,1
32494,1
3844,1
201106,1
14117,1
49665,1
13030,1
28398,1
1273,1
61049,1
61573,1
18881,1
12956,1
8231,1
48571,1
263945,1
8529,1
64126,1
328832,1
8195,1
10753,1
6057,1
62768,1
17025,1
395458,1
132337,1
19653,1
1000,1
6762,1
131073,1
328137,1
41722,1
28320,1
18377,1
37662,1
6939,1
262427,1
37251,1
15605,1
19422,1
56696,1
327788,1
1916,1
132602,1
50482,1
9730,1
44160,1
14537,1
61047,1
30361,1
39072,1
2514,1
201706,1
43424,1
204050,1
44297,1
47846,1
133409,1
61098,1
25593,1
48809,1
15685,1
200325,1
33837,1
21351,1
27647,1
204142,1
51468,1
197883,1
12678,1
15703,1
56798,1
14340,1
35744,1
24482,1
199006,1
7941,1
6,1
210032,1
36459,1
141995,1
51110,1
209227,1
214124,1
39239,1
