asn,nb_hostnames
395747,4085
21664,1336
213120,531
37153,455
8075,390
394507,319
394192,275
329184,153
215859,144
37611,138
327979,120
62567,117
204915,88
12258,87
2018,82
35540,76
37130,64
39572,47
19551,45
2635,38
328723,36
214455,33
37251,33
11845,32
36943,28
328170,25
133795,25
37394,25
9129,25
26496,25
31936,23
63293,23
37311,21
328037,21
60781,20
22612,20
40824,19
141995,16
56696,16
37100,15
36982,15
139144,15
60068,15
37963,15
30148,14
59692,13
200325,13
215740,13
8094,12
14907,12
328174,12
329166,11
26666,11
329523,10
53667,10
15317,10
14853,10
36420,9
397849,9
200019,9
14466,9
12322,9
202425,9
37352,9
64437,9
58294,8
14441,8
213232,8
7979,8
53824,8
37028,7
198993,7
46401,7
8560,7
328882,7
37179,7
27589,7
6698,7
3457,6
328150,6
328064,6
215300,6
37501,6
329206,6
50989,6
12178,6
199524,6
49612,5
329042,5
58061,5
37315,5
210250,5
38369,5
133210,5
135360,5
48729,5
398256,5
46606,5
10753,5
35425,5
54641,5
204800,5
399250,4
328832,4
6496,4
328366,4
27647,4
44907,4
328135,4
199242,4
37520,4
52130,4
12640,4
328513,4
37680,4
40021,4
26347,4
5761,4
200449,4
328109,4
10480,4
51852,4
8195,4
17668,4
55470,3
33387,3
328410,3
54994,3
327787,3
206264,3
6185,3
4258,3
54532,3
328417,3
62068,3
15022,3
7020,3
7941,3
24961,3
328453,3
36960,3
328006,3
328156,3
3920,3
139341,3
395458,3
24600,3
37236,3
44534,2
49714,2
329053,2
7658,2
211922,2
401200,2
15149,2
200514,2
394695,2
205072,2
397273,2
393299,2
32494,2
3844,2
201106,2
14117,2
49665,2
13030,2
28398,2
1273,2
61049,2
61573,2
18881,2
12956,2
8231,2
48571,2
263945,2
8529,2
64126,2
6057,2
62768,2
17025,2
132337,2
19653,2
1000,2
6762,2
131073,2
328137,2
41722,2
28320,2
18377,2
37662,2
6427,2
262427,2
15605,2
19422,2
329356,2
1916,2
132602,2
50482,2
9730,2
46844,2
200195,2
61024,2
29066,2
3361,2
37116,2
28753,2
37356,2
50980,2
328633,2
37172,2
61210,2
43641,2
133096,2
34119,2
56898,2
36916,2
201744,2
46864,2
207728,2
327767,2
14576,2
134691,2
14315,2
23576,2
7203,2
60144,2
208488,2
33157,2
37459,2
37314,2
3768,2
55293,2
52148,2
14115,2
16839,2
21787,2
37016,2
328146,2
46475,2
36874,2
45090,2
49025,2
13442,2
19853,2
37515,2
31586,2
205081,2
63410,2
14340,2
37235,2
329429,2
26277,2
141518,2
328210,2
64542,2
33191,2
34222,2
49287,2
3067,2
36352,2
9764,2
54290,1
9688,1
24482,1
64551,1
32632,1
215322,1
213438,1
198753,1
37344,1
39020,1
328916,1
44009,1
327863,1
53332,1
22653,1
214073,1
216071,1
30246,1
327996,1
400754,1
327824,1
25709,1
32298,1
40699,1
58087,1
20799,1
37302,1
137409,1
37096,1
34888,1
33083,1
36914,1
37275,1
132372,1
395092,1
18522,1
29222,1
400513,1
19969,1
37599,1
32338,1
11553,1
18945,1
33873,1
327943,1
327849,1
203976,1
328714,1
24971,1
51025,1
22720,1
327804,1
22386,1
36066,1
12929,1
34766,1
29182,1
327961,1
13984,1
328672,1
212792,1
329510,1
132839,1
328400,1
42532,1
58487,1
62243,1
49981,1
205373,1
136891,1
151373,1
205762,1
65115,1
200928,1
56341,1
327840,1
39686,1
55688,1
31270,1
9752,1
393689,1
43937,1
37180,1
328510,1
46786,1
61092,1
34989,1
328051,1
59939,1
329159,1
207970,1
37358,1
44160,1
7684,1
41690,1
327812,1
328422,1
45420,1
8767,1
329305,1
64519,1
8669,1
42106,1
214685,1
9123,1
328486,1
215266,1
200000,1
63139,1
39134,1
23470,1
328561,1
20264,1
7589,1
23352,1
61144,1
11281,1
329035,1
19720,1
60114,1
23367,1
4738,1
48314,1
44239,1
27223,1
42160,1
12488,1
328732,1
53850,1
328101,1
12678,1
400797,1
201706,1
59253,1
3387,1
328818,1
150436,1
213737,1
199867,1
328323,1
8987,1
198032,1
393874,1
329193,1
56322,1
197540,1
207569,1
399358,1
401653,1
398743,1
12874,1
51905,1
327901,1
46440,1
34282,1
57305,1
46981,1
15685,1
36459,1
9022,1
395162,1
33579,1
39896,1
7859,1
202368,1
16972,1
215402,1
46433,1
394432,1
37053,1
2665,1
7393,1
328537,1
395839,1
39326,1
199236,1
150078,1
16973,1
198610,1
54552,1
47002,1
22049,1
394277,1
7040,1
29680,1
34309,1
1897,1
205283,1
19084,1
33322,1
19225,1
214390,1
213504,1
13830,1
328548,1
200651,1
216014,1
329331,1
1764,1
44066,1
20984,1
42567,1
202492,1
36850,1
328172,1
12641,1
327949,1
11157,1
205193,1
24611,1
328029,1
37441,1
133050,1
60592,1
