asn,nb_hostnames
395747,4182
21664,1220
213120,663
394507,477
394192,420
8075,179
204915,172
215859,134
62567,124
22612,112
16276,104
37532,102
37154,75
19551,72
39572,63
37963,62
328646,59
37153,53
2635,48
46606,45
36959,41
26666,41
56696,39
214455,38
141995,33
26496,32
31936,31
63293,28
47846,27
202492,25
60781,25
30148,24
133795,23
38369,23
40824,23
7979,22
14853,22
139144,20
37611,18
14907,17
211612,17
8560,16
14441,15
12178,15
45090,15
204800,15
60144,14
139341,13
54641,13
36420,12
59692,12
401200,11
53667,10
200325,10
200019,10
328665,10
28753,10
5545,10
58061,10
19853,10
58294,10
53824,10
35425,10
3457,9
55293,9
36943,9
215846,8
44907,8
397849,8
13238,8
49714,8
328570,8
198993,8
329184,8
202425,7
33837,7
2018,7
55470,7
398256,7
215740,7
397273,7
49287,7
199524,7
6698,7
14555,6
13442,6
7420,6
54994,6
27589,6
44009,6
40021,6
48254,6
37096,6
5761,6
35280,6
36352,6
34119,5
786,5
150078,5
213232,5
197540,5
24600,5
10753,4
31586,4
63410,4
54290,4
46844,4
46475,4
50980,4
10480,4
6185,4
23352,4
7859,4
46864,4
56898,4
6496,4
57724,4
48729,4
37146,4
18945,4
36962,4
14466,4
64437,4
51852,4
400275,4
215300,4
44477,4
3920,4
200449,4
52130,4
30340,4
327979,4
36080,4
12322,4
395458,4
26347,3
38913,3
24971,3
13830,3
214124,3
12678,3
11807,3
49352,3
328174,3
61024,3
7941,3
37183,3
56341,3
200313,3
63993,3
49981,3
9009,3
328832,3
37251,3
206264,3
62068,3
12258,3
204548,3
36982,3
329278,3
53755,3
139057,3
32338,3
36057,3
17668,3
131138,3
22720,3
32903,3
34282,2
205435,2
207728,2
52000,2
33191,2
57344,2
141518,2
60885,2
215322,2
60897,2
19648,2
210250,2
30058,2
61065,2
12488,2
61976,2
327905,2
37315,2
34788,2
202053,2
328427,2
702,2
47002,2
44160,2
63199,2
214073,2
133096,2
199867,2
137409,2
397423,2
41000,2
36459,2
52148,2
58521,2
150436,2
33322,2
27647,2
34699,2
140688,2
14340,2
200000,2
24961,2
3452,2
29066,2
23576,2
133210,2
135360,2
36066,2
135377,2
216154,2
198032,2
3844,2
28398,2
18881,2
12956,2
263945,2
8195,2
6057,2
62768,2
17025,2
132337,2
19653,2
6762,2
328137,2
41722,2
28320,2
37662,2
6939,2
15605,2
19422,2
1916,2
50482,2
24482,2
34309,2
14315,2
18229,2
36994,2
26277,2
23421,2
37100,2
37028,2
14113,2
23522,2
38185,2
151373,2
33157,2
200195,2
61144,2
27223,2
142592,2
55688,2
4258,2
34931,2
212872,2
393689,2
33387,2
51468,2
45644,2
2514,2
400754,2
328252,2
34920,2
3387,2
7203,2
211922,2
1842,2
9764,2
204450,2
136620,2
199218,2
12091,2
147168,1
9123,1
56322,1
19969,1
61210,1
44803,1
41231,1
63290,1
203639,1
212531,1
151858,1
9605,1
11281,1
56302,1
45420,1
28977,1
60114,1
10929,1
14988,1
329523,1
198913,1
62856,1
51970,1
399358,1
24611,1
205193,1
131965,1
22653,1
203976,1
205373,1
43641,1
9752,1
328854,1
204544,1
59943,1
59774,1
39029,1
17436,1
51433,1
211864,1
12064,1
208119,1
1152,1
7489,1
395092,1
36930,1
213737,1
44094,1
25697,1
214390,1
48040,1
42567,1
215845,1
197553,1
14472,1
63362,1
37362,1
140290,1
200928,1
196763,1
202656,1
55272,1
40539,1
19133,1
42400,1
329042,1
39825,1
8473,1
41690,1
59939,1
28839,1
33182,1
8262,1
327904,1
25709,1
30999,1
202242,1
328170,1
2516,1
13438,1
148000,1
138341,1
40651,1
393299,1
32494,1
201106,1
14117,1
49665,1
13030,1
1273,1
61049,1
61573,1
8231,1
48571,1
8529,1
64126,1
1000,1
131073,1
18377,1
262427,1
327788,1
132602,1
9730,1
214677,1
212490,1
3768,1
13767,1
33472,1
9059,1
131283,1
37180,1
328633,1
61098,1
35258,1
62243,1
207569,1
36850,1
133162,1
57,1
327812,1
37053,1
8523,1
9121,1
29182,1
51905,1
50474,1
329206,1
24282,1
22194,1
17363,1
63240,1
52468,1
45352,1
136373,1
6327,1
52320,1
17984,1
8919,1
396390,1
61568,1
29169,1
52167,1
45517,1
20764,1
2027,1
13786,1
51530,1
196753,1
64475,1
207841,1
270014,1
5381,1
23520,1
48641,1
35360,1
8708,1
7589,1
15958,1
2614,1
14016,1
35600,1
38726,1
1031,1
29049,1
36678,1
35598,1
264409,1
52025,1
50628,1
14537,1
205920,1
15802,1
10578,1
396176,1
216071,1
13324,1
2852,1
201755,1
55106,1
8069,1
37179,1
132224,1
201936,1
213438,1
329166,1
39134,1
59253,1
140641,1
204846,1
46440,1
17762,1
11845,1
37130,1
136165,1
49318,1
133050,1
50979,1
215467,1
10798,1
60230,1
31727,1
42848,1
12640,1
199729,1
205544,1
51752,1
