asn,nb_hostnames
395747,4099
21664,1244
213120,753
394507,447
394192,435
8075,216
204915,166
37153,146
215859,135
62567,123
35540,89
22612,70
37204,60
2635,57
19551,55
39572,52
56696,52
46606,47
26496,46
30148,44
37963,39
37611,38
214455,35
141995,34
37183,34
26666,34
37332,32
31936,31
133795,30
14441,26
14853,25
63293,24
60068,23
327979,22
40824,21
329184,20
63410,19
60781,19
38369,19
197540,19
12178,19
14907,17
35425,17
53667,16
2018,15
54641,15
204800,15
8560,14
139341,14
48254,13
27267,13
200325,12
53824,12
7979,11
37024,11
3457,11
139144,11
15317,10
55293,10
215740,10
59692,10
46844,10
36420,9
44907,9
214073,9
23470,9
6496,9
49025,9
37344,8
399250,8
40021,8
61024,8
58294,8
6698,8
202053,7
202425,7
13442,7
36943,7
44009,7
60144,7
10480,7
50989,7
37532,7
45090,7
198203,7
12258,7
200019,7
10753,7
37184,6
36982,6
397849,6
23352,6
27589,6
328854,6
786,6
54994,6
12322,6
17668,6
24600,6
213232,5
14466,5
37100,5
37442,5
34931,5
3920,5
401200,5
26347,5
210250,5
150078,5
58061,5
19648,5
398256,5
6185,5
199524,5
36352,5
199218,5
328170,4
198032,4
18229,4
328230,4
19853,4
61976,4
49612,4
64437,4
46864,4
328088,4
397273,4
151373,4
29066,4
44534,4
49714,4
328174,4
53755,4
27647,4
215300,4
52130,4
51468,4
5761,4
62068,4
198993,4
28753,4
142592,4
328037,4
37123,4
328832,4
328041,4
133210,4
135360,4
51852,4
18945,4
395458,4
22720,4
13830,3
14555,3
49352,3
32338,3
55532,3
57344,3
328269,3
31727,3
24971,3
24961,3
60885,3
207970,3
51905,3
400513,3
397391,3
139057,3
9123,3
7859,3
47846,3
327971,3
54290,3
47002,3
37568,3
3844,3
28398,3
18881,3
12956,3
263945,3
8195,3
6057,3
62768,3
17025,3
132337,3
19653,3
6762,3
328137,3
41722,3
28320,3
37662,3
6427,3
37251,3
15605,3
19422,3
1916,3
50482,3
38913,3
3387,3
137409,3
7941,3
329376,3
9129,3
49287,3
31586,3
393960,2
4738,2
36986,2
207208,2
329042,2
37311,2
33157,2
394303,2
10929,2
9009,2
33191,2
2514,2
52000,2
42848,2
17477,2
51433,2
55688,2
4373,2
11845,2
56322,2
9509,2
208488,2
60897,2
63199,2
36459,2
49981,2
7203,2
23889,2
44880,2
201755,2
205435,2
11807,2
50980,2
400275,2
8094,2
56341,2
14315,2
26277,2
46475,2
51894,2
56898,2
48729,2
32780,2
207728,2
8708,2
52148,2
44160,2
216154,2
200195,2
23576,2
200449,2
393299,2
32494,2
201106,2
14117,2
49665,2
13030,2
1273,2
61049,2
61573,2
8231,2
48571,2
8529,2
64126,2
1000,2
131073,2
18377,2
262427,2
329356,2
132602,2
9730,2
327863,2
15149,2
33387,2
200000,2
34119,2
394625,2
3768,2
24482,2
59939,2
133096,2
5377,2
328252,2
33265,2
59210,2
328210,2
206264,2
45352,2
1152,2
35589,2
9764,2
47422,2
5723,1
37501,1
63444,1
12488,1
395532,1
13037,1
48040,1
200107,1
211611,1
62744,1
50474,1
271,1
14098,1
15318,1
30619,1
57,1
37159,1
37010,1
38185,1
28838,1
39029,1
27223,1
32632,1
40539,1
202917,1
2611,1
44306,1
329206,1
19153,1
204846,1
61306,1
200713,1
204548,1
8681,1
197553,1
34309,1
9505,1
393249,1
203417,1
62856,1
12816,1
329035,1
16557,1
131965,1
24586,1
37130,1
36080,1
399566,1
202368,1
12640,1
24675,1
14824,1
31424,1
4258,1
216014,1
56872,1
18978,1
19983,1
28810,1
206972,1
37352,1
41231,1
30083,1
23816,1
24572,1
140688,1
23724,1
4808,1
147168,1
203976,1
39825,1
8473,1
37520,1
23367,1
8069,1
47577,1
35258,1
29182,1
196763,1
398743,1
63760,1
214124,1
30961,1
24282,1
395003,1
40651,1
398787,1
16282,1
60230,1
46562,1
41653,1
212872,1
212490,1
394230,1
37154,1
328665,1
44386,1
13041,1
51025,1
397023,1
32834,1
42567,1
61210,1
37394,1
212531,1
37028,1
30994,1
328723,1
36066,1
34788,1
328672,1
215402,1
211864,1
329166,1
213737,1
201936,1
138650,1
55272,1
211922,1
50292,1
33083,1
15305,1
965,1
214677,1
39202,1
45644,1
205275,1
212792,1
138341,1
47543,1
205072,1
11106,1
3361,1
62016,1
36960,1
8523,1
28977,1
37671,1
21581,1
8262,1
37172,1
22903,1
17001,1
131429,1
15703,1
131283,1
16839,1
39686,1
2633,1
14576,1
1624,1
201773,1
205762,1
18522,1
38365,1
13601,1
15699,1
63290,1
328266,1
213438,1
395092,1
393874,1
53332,1
17363,1
37179,1
55470,1
702,1
25687,1
327905,1
60114,1
9752,1
200928,1
148000,1
61144,1
24611,1
14472,1
43641,1
31043,1
214390,1
198610,1
11281,1
53850,1
399358,1
37358,1
2665,1
33322,1
394432,1
39134,1
44477,1
141518,1
214685,1
23876,1
215322,1
12641,1
2780,1
202656,1
397423,1
34989,1
41690,1
198913,1
33182,1
394695,1
394497,1
150436,1
34342,1
58487,1
33873,1
135152,1
12678,1
38719,1
42656,1
59524,1
329429,1
34282,1
8987,1
48669,1
22653,1
14745,1
14988,1
200514,1
30999,1
34222,1
42846,1
133050,1
45894,1
57352,1
198792,1
32298,1
7040,1
42106,1
201706,1
62243,1
43009,1
212422,1
135097,1
37515,1
19324,1
132680,1
12064,1
36516,1
37329,1
26752,1
400797,1
205373,1
327755,1
14593,1
202492,1
205193,1
36850,1
63240,1
52468,1
136373,1
6327,1
52320,1
17984,1
9015,1
19782,1
61568,1
29169,1
200039,1
132045,1
20764,1
2027,1
13786,1
51530,1
196753,1
64475,1
207841,1
270014,1
44684,1
23520,1
48641,1
35360,1
7589,1
15958,1
2614,1
14016,1
35600,1
38726,1
1031,1
29049,1
4134,1
35598,1
264409,1
52025,1
50628,1
14537,1
205920,1
15802,1
59253,1
34699,1
393689,1
10798,1
25472,1
41000,1
