org_id,count
ORG-NIL25-RIPE,17811
LPL-141-ARIN,52536
ORG-RPKS1-RIPE,4752
HL-99-ARIN,80834
ORG-UL87-RIPE,18015
ORG-VSRO1-RIPE,9515
ORG-SGHL1-RIPE,1240
ORG-WL21-RIPE,30678
@family-65694,46846
ORG-HPLS2-RIPE,186
ORG-RS12-RIPE,26406
ORG-TS9-RIPE,149847
ORG-WS129-RIPE,12006
ORG-NL12-RIPE,4619
ORG-WIA5-RIPE,25317
@family-58962,10298
ORG-GG22-RIPE,71857
@family-34949,146524
ORG-AA446-RIPE,12297
ORG-IA70-RIPE,25527
INCAP-5-ARIN,136749
GC-852-ARIN,58922
@aut-9597-JPNIC,19116
ORG-LA982-RIPE,32345
ORG-UL9-RIPE,7650
BLUEH-2-ARIN,207889
@aut-45400-APNIC,98566
@aut-45102-APNIC,295226
ORG-BDIE1-RIPE,1660
@aut-7643-APNIC,15313
ORG-SS18-RIPE,23233
ORG-CSS4-RIPE,7057
HVC-3-ARIN,36784
ORG-DS2-RIPE,39337
ORG-OS50-RIPE,42924
ORG-AP2-AP-APNIC,31826
ORG-OG1-RIPE,143000
ORG-NISA1-RIPE,3165
ORG-DGGB1-RIPE,144339
ORG-DTA2-RIPE,11442
BNT-4-ARIN,110
ORG-HS33-RIPE,20085
ORG-VS21-RIPE,63960
GODAD-ARIN,181146
ORG-ICI6-RIPE,893
ORG-LL11-RIPE,23
ORG-SIS41-RIPE,1153
ORG-TT3-RIPE,25130
@aut-4538-APNIC,7749
ORG-NMMG1-RIPE,70525
ORG-RIKS1-RIPE,24400
ORG-SI191-RIPE,34934
ORG-SRA1-RIPE,69527
@aut-2501-JPNIC,401
ORG-NC4-RIPE,16984
@aut-9929-APNIC,79754
ORG-BAL1-AP-APNIC,3539
ORG-EISS3-RIPE,103
ORG-RE3-RIPE,1088
ORG-ES141-RIPE,127
@family-47746,23217
DEFEN-12-ARIN,9829
@aut-131965-JPNIC,176157
ORG-AA465-RIPE,346
SALESF-3-ARIN,64771
ORG-FA7-RIPE,8115
ORG-CTPC1-AP-APNIC,14650
PSUL-1-ARIN,27748
ORG-ANDM1-RIPE,6448
ORG-UIL18-RIPE,3625
WCP32-ARIN,5787
ORG-RA56-AP-APNIC,13270
ORG-DIG4-RIPE,30593
ORG-SPL29-AP-APNIC,551
ORG-SL223-RIPE,101290
@aut-136119-APNIC,82
ORG-FDA19-RIPE,3222
ORG-FT2-RIPE,13166
ORG-MBL5-RIPE,1857
ORG-UKRT1-RIPE,214
ORG-ABL4-AP-APNIC,203
ORG-LAPP1-AP-APNIC,16197
ORG-KL206-RIPE,2394
@aut-17676-JPNIC,3542
ORG-HB6-RIPE,7905
ORG-JI50-RIPE,48581
@aut-9688-APNIC,25066
ORG-PIS3-RIPE,9567
@aut-9583-APNIC,1344
ORG-OA4-RIPE,2424
SUCUR-2-ARIN,76457
ACCR-ARIN,12592
OMSN-ARIN,2077
@family-43320,75384
ORG-SS59-RIPE,14612
ORG-ES237-RIPE,2092
ORG-EA26-RIPE,4300
ORG-NE3-RIPE,4934
ORG-WH1-RIPE,5310
ORG-ATI1-AP-APNIC,197606
TMS-52-ARIN,3979
@aut-141641-APNIC,84
ORG-RIS11-RIPE,42
ORG-VS198-RIPE,4320
ORG-OSZO12-RIPE,3317
ORG-AI34-RIPE,35959
INTER-1370-ARIN,27447
CHOOP-1-ARIN,86287
ORG-FO9-RIPE,2095
ORG-IA35-RIPE,2477
ORG-NAAP1-RIPE,46903
ORG-SB577-RIPE,24105
@aut-58461-APNIC,22297
ORG-BL131-RIPE,134647
ORG-RA6-RIPE,11483
@aut-55897-JPNIC,154471
ORG-LA37-RIPE,2708
ORG-TT1-RIPE,70597
@aut-134771-APNIC,17602
ORG-RSK7-RIPE,3308
ORG-EEG3-RIPE,3306
GHD-7-ARIN,353
ORG-BKGC1-RIPE,2481
@aut-58369-APNIC,328
ORG-GA510-RIPE,280
ORG-NA1196-RIPE,581
ORG-WL159-RIPE,80098
@aut-135944-APNIC,119
@aut-23860-APNIC,103
ORG-IB5-RIPE,17947
RCN-12-ARIN,27261
ORG-OB3-RIPE,77327
ORG-CNTS1-RIPE,3034
ORG-KL236-RIPE,551
ORG-HTL17-RIPE,3472
ORG-MSST1-RIPE,4132
MA-306-ARIN,1761
ORG-RNS11-RIPE,19031
@aut-38661-APNIC,1206
WEEBL-1-ARIN,51248
ORG-ND67-RIPE,28
ORG-NKN1-AP-APNIC,5621
@aut-2518-JPNIC,2501
RC-376-ARIN,402
NAMEC-4-ARIN,116647
ORG-INS5-RIPE,35477
HURC-ARIN,14303
@family-8045,11534
ORG-SWOL5-RIPE,16851
ORG-CT1-AP-APNIC,87185
ORG-SI228-RIPE,2011
ORG-SPEC3-RIPE,5848
ORG-ACTC1-AP-APNIC,1047
ORG-SWPL1-AP-APNIC,18331
ORG-KI35-RIPE,1030
ORG-ZSS1-RIPE,5805
@aut-131775-APNIC,4363
EDGEC-25-ARIN,28916
ORG-HNTG1-RIPE,81
ORG-AIB25-RIPE,699
ORG-CAPL15-AP-APNIC,5827
ORG-MCSG1-RIPE,33884
CONTA-48-ARIN,11231
ORG-WS58-RIPE,35196
ORG-ENPL1-AP-APNIC,7401
ORG-CI1-RIPE,21935
ORG-DL3-RIPE,1644
ORG-WH23-RIPE,35456
ORG-FBOR1-AP-APNIC,75
ORG-CTCL1-AP-APNIC,38998
INMOT-1-ARIN,40474
ORG-MU30-RIPE,2479
ORG-KDNA1-RIPE,4314
ORG-AU33-RIPE,304
ORG-GA5-RIPE,12516
ORG-RSDP4-RIPE,672
ORG-SI6-RIPE,57140
SL-892-ARIN,41627
ORG-ATIA2-AFRINIC,736
@aut-150008-APNIC,7337
ORG-WISG5-RIPE,9212
ORG-ZA59-RIPE,28860
@aut-131586-APNIC,3538
CCCS-ARIN,4111
ORG-BAS2-RIPE,1819
ORG-BISL2-RIPE,8709
ORG-CI9-RIPE,12044
@aut-142314-APNIC,121
@aut-38244-APNIC,1384
@aut-136052-APNIC,3314
ORG-SAVC1-RIPE,1056
ORG-PIO3-RIPE,6951
WHOLE-125-ARIN,5895
ORG-EIS52-RIPE,76
ORG-NRRL1-RIPE,101079
ORG-MA30-RIPE,35345
ORG-TVGG1-RIPE,3387
ORG-SL338-RIPE,33740
ORG-THBF1-RIPE,27
FORKN-ARIN,2658
FLYIO-ARIN,4558
ORG-SG2-RIPE,3838
ORG-EA20-RIPE,5850
ATTW-Z-ARIN,5533
ORG-GHS5-RIPE,2383
ORG-SPS15-RIPE,35147
ORG-KTCS1-RIPE,30
ORG-AA397-RIPE,652
SERVE-105-ARIN,51728
ORG-TL188-RIPE,82800
ORG-ECA14-RIPE,157
A2HOS-ARIN,49795
ORG-HG2-RIPE,9498
ORG-NL14-RIPE,295
ORG-SG7-RIPE,1495
ORG-TL206-RIPE,333
WIKIM-ARIN,16532
ORG-ICSA1-RIPE,387
ORG-ACS19-RIPE,851
COGC-ARIN,28410
ORG-DPFS1-RIPE,3619
ORG-LSA101-RIPE,6153
ORG-GIRA1-RIPE,8014
ORG-DLH1-RIPE,1099
ORG-SS92-RIPE,98
ORG-ITCL3-AP-APNIC,5263
@aut-23817-JPNIC,5103
ORG-CEOF1-RIPE,1568
ORG-CWS5-RIPE,7168
ORG-JA30-RIPE,6141
NETWO-59-ARIN,162061
CONTE-25-ARIN,1277
ORG-OG2-RIPE,11333
ORG-BA5-RIPE,5483
ORG-DC2-RIPE,7429
ORG-AHN1-RIPE,1191
KNOWN-1-ARIN,26612
ORG-DHG2-RIPE,171
ORG-KA2-RIPE,4865
ORG-CNS38-RIPE,8102
ORG-ART1-RIPE,9451
ORG-CN93-RIPE,48051
ORG-SA851-RIPE,548
@aut-46050-APNIC,3414
SL-1370-ARIN,41346
SSL-65-ARIN,10786
ORG-NNO1-RIPE,5851
ORG-AISG3-RIPE,21328
ORG-ALL3-RIPE,1233
ORG-SIPL5-AP-APNIC,448
ORG-ECL55-RIPE,19208
IPRM-ARIN,4216
ORG-KAUD1-RIPE,274
ORG-BNJ1-RIPE,3050
ORG-GIS6-RIPE,4929
ORG-DL9-RIPE,581
ORG-AMS1-RIPE,3455
@aut-37907-JPNIC,11874
ORG-LTB1-RIPE,1689
ORG-FSPL2-RIPE,4381
@aut-137373-APNIC,112
@aut-24282-JPNIC,15375
ORG-GA85-RIPE,3911
LEGRO-2-ARIN,16145
ORG-AL1-RIPE,1486
NDN-ARIN,52778
CXA-ARIN,2203
