#,Domain,Users,MAU,Posts,Posts/Users,Peers,Updated,Registrations,Software
1,pics.spielenmitlili.com,4,2,118,29.50,94,2025-09-13 03:22,Closed,Pixelfed 3.5.3
2,wellbeing200global.org,1,,0,0.00,,2025-09-13 03:22,Closed,Ghost 0.1.0
3,weatherby2378.social,2,2,15333,7666.50,15804,2025-09-13 03:22,Closed,Mastodon 4.4.3
4,ety.cybre.stream,1,1,132,132.00,0,2025-09-13 03:22,Closed,Owncast 0.1.3
5,mastodon.wootton.dev,5,4,5872,1174.40,8351,2025-09-13 03:22,Closed,Mastodon 4.4.3
6,social.secret.pub,2,1,152,76.00,7524,2025-09-13 03:22,Closed,Gotosocial 0.19.2+git-90851
7,ak.auriga.dev,6,2,4,0.67,2,2025-09-13 03:22,Open,Akkoma 3.15.2-0-gcb3242
8,mamoswine.pkmn.cloud,4,0,25,6.25,5,2025-09-13 03:22,Approval Required,Mastodon 4.1.2
9,amastodon.uk,35,5,6886,196.74,21069,2025-09-13 03:22,Approval Required,Mastodon 4.4.3
10,hub.mearcstapan.eu,1,1,0,0.00,,2025-09-13 03:22,Open,Hubzilla 10.2.3
11,bortabra.klerborg.se,1,,0,0.00,,2025-09-13 03:22,Closed,Ghost 0.1.0
12,firefish.minecraftchest1.us,4,0,979,244.75,2655,2025-09-13 03:22,Closed,Firefish 20240206
13,buvette.club,4,2,24,6.00,2088,2025-09-13 03:22,Invite,Mastodon 4.4.3
14,midwest.social,2545,334,14500,5.70,,2025-09-13 03:22,Open,Lemmy 0.19.12
15,blog.mefoundation.com,1,,0,0.00,,2025-09-13 03:22,Closed,Ghost 0.1.0
16,leanside.org,1,1,24,24.00,6634,2025-09-13 03:22,Approval Required,Mastodon 4.4.3
17,walfie.dev,2,0,36,18.00,1034,2025-09-13 03:22,Closed,Firefish 1.0.3
18,mastodon.vhome.info,4,1,520,130.00,18654,2025-09-13 03:22,Approval Required,Mastodon 4.4.3
19,masto.doserver.top,1,1,1491,1491.00,13357,2025-09-13 03:22,Approval Required,Mastodon 4.4.3
20,anonsys.net,191,94,15437,80.82,44134,2025-09-13 03:22,Open,Friendica 2025.07-rc-1580
21,musica.sutty.nl,1,1,2,2.00,,2025-09-13 03:22,Closed,Sutty-distribute 0.1.0
22,neko.cat,2,2,21879,10939.50,10517,2025-09-13 03:22,Closed,Mastodon 4.4.2
23,eviltoast.org,507,33,390,0.77,,2025-09-13 03:22,Open,Lemmy 0.19.11
24,koto.moe,1,1,396,396.00,10869,2025-09-13 03:22,Closed,Akkoma 3.15.1
25,innoq.social,41,19,2823,68.85,15005,2025-09-13 03:22,Invite,Mastodon 4.4.3
26,social.heycuauh.com,1,,87,87.00,4541,2025-09-13 03:22,Closed,Gotosocial 0.19.1+git-6574d
27,miku.social,130,1,2155,16.58,5820,2025-09-13 03:22,Open,Misskey 2025.9.0
28,soapbox.smbi.community,4,0,70,17.50,694,2025-09-13 03:22,Open,Mastodon 4.0.2
29,blog.jesseyoungblood.com,1,,8,8.00,,2025-09-13 03:22,Closed,Writefreely 0.15.1
30,tube.elemac.fr,8,1,11,1.38,,2025-09-13 03:22,Closed,Peertube 7.3.0
31,bot.viii.fi,1,,37,37.00,,2025-09-13 03:22,Closed,Single file acti 0.000000001
32,oyasumi.ski,182,,75612,415.45,5716,2025-09-13 03:22,Closed,Misskey 2025.5.0
33,radiofmlati2.sutty.nl,1,1,0,0.00,,2025-09-13 03:22,Closed,Sutty-distribute 0.1.0
34,gumzo.africa,17,3,745,43.82,11728,2025-09-13 03:22,Open,Mastodon 4.3.6
35,dabr.ca,27,13,25894,959.04,14630,2025-09-13 03:22,Invite,Pleroma 2.9.1
36,blog.ivanbut.com,1,,0,0.00,,2025-09-13 03:22,Closed,Ghost 0.1.0
37,blog.blackair.io,1,,0,0.00,,2025-09-13 03:22,Closed,Ghost 0.1.0
38,mastodon.deepthot.org,2,2,409,204.50,3765,2025-09-13 03:22,Approval Required,Mastodon 4.4.1
39,social.org.mx,29,,9,0.31,,2025-09-13 03:22,Open,Mobilizon 5.1.5
40,expatlicense.org,2,0,0,0.00,,2025-09-13 03:21,Closed,Hubzilla 10.2.1
41,fd.winklerfamilie.eu,,,,,0,2025-09-13 03:21,Closed,Friendica 2024.12-1576
42,social.n4mlz.dev,4,,6,1.50,1563,2025-09-13 03:21,Closed,Misskey 2024.10.1
43,social.xanten.cc,4,2,216,54.00,8957,2025-09-13 03:21,Approval Required,Mastodon 4.3.5
44,martinlm.mypi.co,0,0,0,,,2025-09-13 03:21,Closed,Lemmy 0.19.12-modified
45,letter.mystech.ink,1,1,5162,5162.00,1042,2025-09-13 03:21,Closed,Letter 0.1
46,feels.moe,7332,,1548696,211.22,3435,2025-09-13 03:21,Open,Misskey 2024.5.0-hotomoe
47,vyizis.tech,4,1,17,4.25,10072,2025-09-13 03:21,Approval Required,Mastodon 4.4.3
48,connexia.hibiol.eu,0,,0,,0,2025-09-13 03:21,Closed,Friendica 2024.12-1576
49,theproductmindedqa.com,1,,0,0.00,,2025-09-13 03:21,Closed,Ghost 0.1.0
50,linuxrocks.online,4444,197,248961,56.02,47597,2025-09-13 03:21,Approval Required,Mastodon 4.4.1
51,agenda.shadok-strasbourg.eu,2,,1,0.50,,2025-09-13 03:21,Closed,Mobilizon 5.1.0
52,publish-test.appl-intra.digital,1,,0,0.00,,2025-09-13 03:21,Closed,Ghost 0.1.0
53,snac.notnull.space,3,1,330,110.00,0,2025-09-13 03:21,Closed,Snac 2.82
54,paulocamelo.com,1,,1,1.00,,2025-09-13 03:21,Closed,Writefreely 0.16.0
55,masto.knight-heron.org,1,1,84,84.00,5565,2025-09-13 03:21,Approval Required,Mastodon 4.4.3
56,markvanhoegee.com,1,,0,0.00,,2025-09-13 03:21,Closed,Ghost 0.1.0
57,homeless.group,105,31,232,2.21,381,2025-09-13 03:21,Open,Mastodon 3.0.1
58,talk.skinnyjames.net,1,1,7,7.00,71,2025-09-13 03:21,Invite,Mastodon 4.3.8
59,microblog.mudanote.com,1,,10,10.00,,2025-09-13 03:21,Closed,Microblogpub 2.0.0+dev
60,feddit.social,1,1,9,9.00,,2025-09-13 03:21,Closed,Lemmy 0.19.12
61,misskey.takutk.com,8,,2799,349.88,222,2025-09-13 03:21,Closed,Misskey 2024.3.1
62,fedihub.space,6,,1572,262.00,8581,2025-09-13 03:21,Open,Sharkey 2025.4.4
63,toot.4t2.uk,3,3,256,85.33,9704,2025-09-13 03:21,Invite,Mastodon 4.2.17
64,a.junimo.party,15,12,5365,357.67,12195,2025-09-13 03:21,Approval Required,Mastodon 4.5.0-nightly.20
65,social.dednet.co,9,,611,67.89,3114,2025-09-13 03:21,Closed,Misskey 2025.7.0
66,boostie.social,1,1,1291,1291.00,14906,2025-09-13 03:21,Closed,Mastodon 4.4.2
