hostname,state,software,user_count,note_count,peer_count,discovered_at
kooapp.org,up,akkoma,560,4359,11465,1725747738
tauri.earth,up,mastodon,1,6094,13301,1668353210
zone.liolok.com,up,mastodon,61,3056,7977,1612578270
social.dan-benson.me,up,mastodon,3,5,3,1747697616
misskey-square.net,up,misskey,13457,7838567,15828,1686983650
www.matchy.net,up,wordpress,2,167,,1702542466
mastodon.macsnet.cz,up,mastodon,52,36013,171527,1612578266
holygrena.de,up,mastodon,1,546,9372,1669636927
klezmor.im,up,mastodon,8,2220,12410,1685761556
lausitz.social,up,akkoma,2,0,8686,1672085676
social.wohlfarth.name,up,mastodon,3,599,11838,1673022856
mastodon.cultuurpers.nl,up,mastodon,11,125,5691,1672612254
pixelfed.dk,up,pixelfed,2178,19240,6216,1642236259
misskey.resonite.love,up,misskey,423,671521,10025,1695350993
peertube.020.pl,up,peertube,3,170,,1612578346
kalenteri.fillarismi.eu,up,Mobilizon,1,0,,1708045364
toot.kottman.xyz,up,mastodon,3,3424,18735,1612578269
blog.neondaygame.com,up,ghost,1,0,,1755472973
mastodon.seattlematrix.org,up,mastodon,18,20679,18253,1669685358
gts.vhenry.fr,up,gotosocial,1,66,3939,1749117907
koehler.social,up,mastodon,1,13,8229,1668107781
social.goodanser.com,up,mastodon,4,621,11447,1653324152
mastodon.haf.ovh,up,mastodon,1,10,6021,1740217213
fedi.video,up,peertube,5,21544,,1667548089
don.mamemo.online,up,mastodon,38,299589,13802,1612578270
fedi.fourhappylions.com,up,akkoma,8,1020,10737,1674697456
mylesbraithwaite.com,up,writefreely,1,3,,1674289266
pixelis.luisa.is,up,pixelfed,5,2056,683,1723827555
strapped.news,up,ghost,1,0,,1755478384
reptiliascope.net,up,pixelfed,1,0,154,1743479004
chalokhelte.com,up,ghost,1,0,,1755456107
tuvideo.txs.es,up,peertube,9,19,,1740252552
brandonsmith.law,up,ghost,1,0,,1755564109
gts.no-gods.no-masters.net,up,gotosocial,983410,6102878,7,1753059235
relay.furca.top,up,activity-relay,12,,,1740347735
mi-t1.ay0.org,up,misskey,5,6,,1756058746
downonthestreet.eu,up,lemmy,4,18,,1740218031
events.deltanauten.de,up,Mobilizon,4,10,,1703138025
social.enterator.de,up,friendica,0,0,10234,1740217447
cc.ryotn.com,up,ccworld-ap-bridge,,,,1740247795
social.arinbasu.online,up,pleroma,4,1524,15009,1668303211
criticalrolestats.com,up,mastodon,2,1756,533,1668913959
tube.shela.nu,up,peertube,8,264,,1612578347
myersjustinc.journalism.bot,up,writefreely,1,1,,1612578345
mastodon.castlemistsoftware.com,up,mastodon,3,287,413,1731285737
dareanwong.com,up,ghost,1,0,,1755730356
social.leicester.news,up,mastodon,1,12,1436,1754486244
lebalkon.de,up,pleroma,2,1024,11625,1661103673
social.brush-and-tale.com,up,pixelfed,6,649,562,1741554346
pixel.mrrl.me,up,pixelfed,4,5,13,1714554762
social.thepipes.ch,up,gotosocial,4,1169,4185,1693500067
piefed.fan,up,piefed,1,0,1,1751448651
devmi1.oyasumi.dev,up,misskey,4,52,239,1723063553
castoranxieux.ca,up,akkoma,3,4,10757,1667349641
techfieldday.net,up,mastodon,55,13909,18586,1668788089
video.olos311.org,up,peertube,25,116,,1646629732
udongein.xyz,up,pleroma,394,671906,37330,1612578267
catgirls.technology,up,misskey,27,8316,9077,1668573818
mastodon.app.stefanberggren.se,up,mastodon,3,1807,13527,1668201790
social.medienzentrum-hdh.de,up,mastodon,3,0,826,1726665610
spolu.bucek.eu,up,mastodon,12,1619,3,1715216106
cycling.ianbgibson.com,up,writefreely,1,8,,1612578345
qa.higgy.social,up,mastodon,1,13,111,1714883191
stream.vulpinecitrus.info,up,owncast,1,15,0,1700172361
www.eey.is,up,writefreely,1,2,,1727301069
mastodon.demonoftheday.eu,up,mastodon,1,0,874,1685791612
social.theokadas.com,up,mastodon,2,168,8244,1668356077
bremen.digital,up,mastodon,3,5,13613,1671561675
pixelfed.fotosleben.art,up,pixelfed,2,73,478,1667317801
mastodon.mapf.net,up,mastodon,3,29,5939,1746470880
community.xcelerator.co.in,up,mastodon,20,0,1,1742112634
lab.under-cherrytree.net,up,misskey,5,15797,555,1739688375
purplepenguin.lol,up,mastodon,1,514,9049,1668075794
sac.moe,up,mastodon,1,15,232,1612578271
mobilizon.libretic.fr,up,Mobilizon,42,64,,1663849031
beta.misskey.social,up,misskey,13,434,1528,1673306932
masto.ink,up,mastodon,60,208577,7976,1708211199
curttech.com,up,mastodon,1,2352,17092,1672535695
bostonmusic.online,up,mastodon,12,5310,22297,1612578269
archaeo.social,up,mastodon,995,86130,18494,1667837640
writing.openwebcraft.com,up,writefreely,1,12,,1612578346
social.44944.eu,up,gotosocial,2,4,248,1669171854
social.sebastianwoehrl.name,up,mastodon,1,0,1005,1670426590
mastodon.mlsn.fr,up,mastodon,3,8878,11735,1688641912
goto.pokerdice.social,up,gotosocial,2,264,4005,1753634921
shredderfood.com,up,mastodon,7,8486,17275,1672427215
matte.fedihost.io,up,peertube,2,0,,1741555827
mstdn.twst.me,up,mastodon,6,87,1959,1671115338
pramari.de,up,webappactivitypubviewsnodeinfo,10,0,,1709492954
aelspire.info,up,gotosocial,1,8,649,1755630272
fek.xyz,up,mbin,3,108,,1753717939
social.marud.fr,up,iceshrimp,27,22514,19169,1665334094
roanoke.social,up,lemmy,2,0,,1689524441
hedgebound.net,up,mastodon,2,19,4357,1687944903
peertube.ctseuro.com,up,peertube,8,27,,1618319497
sovereignsentinels.com,up,ghost,1,0,,1755730356
try.nodebb.org,up,NodeBB,6,8,,1740221703
1dhfsbbdpv4wshuyc6197nymcfeqqkfvy9.tupambae.org,up,friendica,,,0,1629862636
courgett.es,up,sharkey,5,553,7333,1694182701
mi.arkw.work,up,misskey,5,5554,3128,1688554986
minnesota.community,up,mastodon,7,207,7789,1740217156
social.krserv.de,up,mastodon,1,46,2552,1755444207
elsie.photo,up,pixelfed,29,94,402,1628171836
video.staging.blender.org,up,peertube,1,0,,1730483565
mi2.suzusiro.com,up,misskey,7,5406,2752,1717558339
stream.messerli.ch,up,peertube,2,75,,1747483304
misskey.delmulin.com,up,misskey,44,30676,4575,1677398867
netsec.vip,up,gotosocial,3,12,3084,1726346505
kippleandbits.com,up,ghost,1,0,,1753908683
zadankai.club,up,misskey,260,83886,7347,1668104125
friendica.freunde-des-punk.de,up,friendica,0,0,0,1696865263
mastodon.grumpfff.fr,up,mastodon,6,4,652,1731087360
social.hodgson.io,up,mastodon,1,3997,7229,1668636135
ptube-test.mephi.ru,up,peertube,2,6,,1745299330
awai.hostdon.ne.jp,up,mastodon,7,165,4846,1688393180
hailsandales.social,up,gotosocial,1,151,3582,1755443982
ack.nerdfight.online,up,akkoma,13,8883,24128,1673936953
social.yaniak.eu,up,gotosocial,1,55,2705,1750636947
mastodon.puffer.fish,up,mastodon,7,150,8291,1718979801
social.perspective-daily.de,up,mastodon,16,1450,11368,1668904971
diaspora-fr.org,up,diaspora,68582,387640,,1612585289
toot.metasyntactical.com,up,mastodon,3,317,7589,1669043177
nekocave.xyz,up,friendica,,,0,1612578266
writefreely.kupi.my,up,writefreely,7,28,,1753888707
small-log.smallinnovations.nl,up,writefreely,1,12,,1754131034
flx.masto.host,up,mastodon,4,6096,17647,1673352534
eventos.softwarelivre.tec.br,up,gancio,7,9,,1741171054
oedeoe.experiments.cannedtuna.org,up,hollo,1,2,0,1740252553
fedibots.squeakable.dev,up,gotosocial,3,857,913,1733258908
subdued.social,up,mastodon,50,5664,22790,1672811301
misskey.fal.moe,up,misskey,4,31,5367,1672349487
blan.cc,up,mastodon,2,2184,8244,1672837736
sk.szkod.ovh,up,sharkey,1,1244,4989,1730415470
ol2ol.com,up,mastodon,11,139625,5085,1684532307
ramblings.social,up,mastodon,3,199,9256,1671649367
bb.010206.xyz,up,gotosocial,1,261,404,1695319004
ap.kinktodd.com,up,gotosocial,1,114,5672,1708571869
