Rank,Country,CS
1,TH,0.3548
2,ID,0.3258
3,MM,0.2641
4,LA,0.2526
5,IQ,0.249
6,LY,0.2462
7,SY,0.2379
8,PK,0.23
9,KH,0.2299
10,OM,0.2287
11,SA,0.2282
12,PS,0.2254
13,KW,0.2228
14,YE,0.2219
15,LB,0.2219
16,JO,0.2198
17,SD,0.2188
18,NP,0.2167
19,QA,0.2161
20,EG,0.2155
21,BH,0.2151
22,MY,0.2143
23,DZ,0.2126
24,SG,0.2003
25,SO,0.1991
26,BN,0.1983
27,BD,0.1971
28,AE,0.1937
29,PH,0.1934
30,MA,0.1852
31,TN,0.1848
32,MV,0.1823
33,AL,0.1806
34,ET,0.1764
35,TT,0.1755
36,PG,0.1755
37,LK,0.1749
38,AZ,0.1743
39,MU,0.1737
40,BW,0.1727
41,JM,0.1702
42,VN,0.1694
43,ZM,0.1653
44,AO,0.1623
45,GH,0.1608
46,MW,0.1603
47,IN,0.16
48,ZA,0.1549
49,HN,0.1545
50,NI,0.1537
51,NZ,0.1524
52,MZ,0.1519
53,DO,0.1511
54,NA,0.1508
55,AU,0.1504
56,PA,0.1495
57,NG,0.1493
58,VE,0.1488
59,PR,0.1478
60,GB,0.1463
61,MT,0.1462
62,CU,0.1459
63,BR,0.1446
64,ZW,0.1443
65,KE,0.1431
66,CY,0.1418
67,UG,0.1406
68,IE,0.1398
69,TZ,0.1395
70,TR,0.1394
71,SV,0.1374
72,MN,0.136
73,HT,0.1359
74,PY,0.1359
75,US,0.1358
76,GT,0.134
77,BO,0.1335
78,IL,0.132
79,GR,0.1319
80,MG,0.1318
81,CM,0.131
82,CA,0.1308
83,CR,0.1287
84,LT,0.1286
85,RW,0.1275
86,SN,0.1273
87,TG,0.1266
88,CI,0.1247
89,BJ,0.1244
90,GA,0.1232
91,UA,0.1228
92,CD,0.1219
93,PE,0.1218
94,CL,0.1213
95,MX,0.1203
96,ML,0.1193
97,MK,0.1192
98,EC,0.1192
99,BG,0.1188
100,HK,0.118
101,RE,0.114
102,BA,0.1121
103,AM,0.1103
104,GE,0.1086
105,LU,0.108
106,FR,0.1069
107,UY,0.1066
108,PT,0.1065
109,NL,0.1062
110,CO,0.1044
111,JP,0.1036
112,IS,0.1025
113,ME,0.102
114,SE,0.1018
115,BF,0.1018
116,GP,0.1011
117,DK,0.101
118,MQ,0.1007
119,UZ,0.0978
120,EE,0.097
121,DE,0.0947
122,NO,0.0937
123,HR,0.0931
124,AR,0.0928
125,ES,0.0918
126,TW,0.0914
127,RS,0.0905
128,AF,0.0904
129,PL,0.0887
130,BE,0.088
131,MD,0.0876
132,LV,0.0873
133,RO,0.0869
134,KG,0.0868
135,IT,0.0859
136,TJ,0.0844
137,CH,0.0842
138,MO,0.0839
139,KR,0.0825
140,AT,0.0816
141,FI,0.0815
142,KZ,0.079
143,BY,0.0766
144,SI,0.0645
145,HU,0.0604
146,CZ,0.0561
147,RU,0.0554
148,SK,0.0497
149,TM,0.0461
150,IR,0.0411
