Provider,Domains_of_Provider
GoDaddy,168287.16666666666
Google,54564.38095238095
Microsoft,33406.33333333333
UnitedInternet,26938.833333333336
EIG,8714.5
OVH,7752.0
NameCheap,6619.933333333334
Tucows,5517.333333333334
Strato,5025.0
Rackspace,4930.416666666667
Web.com,4199.666666666666
Aruba,3842.0
Yahoo,3652.5
SiteGround,3461.0
Tencent,3450.6666666666665
Zoho,3001.166666666667
h-email.net,2838.0
Gandi,2718.5
ProofPoint,2482.0
SakuraInternet,2420.0
lolipop.jp,2380.5
mxhichina.com,2335.3333333333335
one.com,2223.0
mb1p.com,1979.0
*.kasserver.com,1965.0
xserver.jp,1955.0
udag.de,1954.0
above.com,1736.0
cscdns.net,1625.0
dreamhost.com,1595.6666666666665
Yandex,1460.5
accessdomain.com,1327.5
Solarwinds,1286.5
inmotionhosting.com,1265.0
163.com,1259.8333333333335
carrierzone.com,1243.3333333333335
mailchannels.net,1214.0
ewebdevelopment.com,1157.0
register.it,1152.0
Mimecast,1131.5
Barracuda,1001.0
serviciodecorreo.es,978.0
daemonmail.net,837.0
hostedmxserver.com,734.0
hostinger.com,693.0
appriver.com,675.0
group.zone,666.0
serverdata.net,644.0
gmoserver.jp,620.0
siteprotect.com,538.0
natrohost.com,515.0
srv.cat,512.0
your-server.de,508.0
everyone.net,503.0
messagingengine.com,467.0
securemail.pro,459.0
stackmail.com,430.5
cafe24.com,399.5
heteml.jp,393.5
telefonica.es,380.0
superhosting.bg,373.5
mailgun.org,373.0666666666667
pair.com,373.0
home.pl,361.0
megamailservers.com,347.0
infomaniak.ch,345.0
megamailservers.eu,344.0
wordpress.com,343.0
locaweb.com.br,339.0
world4you.com,326.0
messagelabs.com,312.33333333333337
gridhost.co.uk,312.0
hostpoint.ch,288.0
agenturserver.de,286.0
seeweb.it,284.0
route25.eu,284.0
webempresa.eu,284.0
nominalia.com,279.0
mailprotect.be,278.0
coreserver.jp,265.0
pairserver.com,264.0
b-io.co,262.0
webhostinghub.com,260.0
servconfig.com,259.0
secure.ne.jp,255.0
online.net,252.0
t-online.de,244.0
dattaweb.com,243.0
o2switch.net,237.0
buzondecorreo.com,234.0
faidns.com,234.0
mb5p.com,232.5
