Provider,Domains_of_Provider
Google,26696.666666666664
Microsoft,10072.333333333332
Yandex,4253.083333333333
ProofPoint,2814.666666666667
Mimecast,2005.0
GoDaddy,1410.75
Zoho,1228.8333333333335
Tencent,826.1666666666666
Cisco,771.0666666666666
Rackspace,752.0
Barracuda,598.0
Mail.Ru,555.0
Beget,420.0
MessageLabs,411.5
OVH,386.0
UnitedInternet,341.0
NameCheap,325.1666666666667
Mailgun,297.83333333333337
SiteGround,270.5
Fastmail,210.5
ForcePoint,200.66666666666669
TrendMicro,193.0
163.com,178.33333333333334
inbound-smtp.us-east-1.amazonaws.com,170.0
Solarwinds,159.0
timeweb.ru,155.5
Ukraine.ua,151.0
Gandi,148.5
Tucows,143.0
mxhichina.com,133.0
reg.ru,132.0
amazonaws.com,124.5
mailchannels.net,122.0
irwebspace.com,120.5
FireEye,118.0
dreamhost.com,117.0
nicmail.ru,115.0
AppRiver,106.0
axspace.com,93.0
mirohost.net,90.0
Web.com,84.0
bitcommand.com,78.0
hostinger.com,75.0
pair.com,72.0
your-server.de,72.0
masterhost.ru,69.0
hoster.by,68.0
from.sh,68.0
yahoodns.net,67.0
accessdomain.com,65.5
spaceweb.ru,62.0
dnslake.com,62.0
hawkhost.com,59.0
serverdata.net,59.0
securemx.jp,58.0
renater.fr,57.0
imena.com.ua,57.0
eigbox.net,57.0
improvmx.com,56.0
180r.com,53.0
mchost.ru,52.0
sophos.com,48.0
reflected.net,48.0
irandns.com,47.0
mail.go.th,44.5
aruba.it,44.0
advancedhosters.com,43.0
domain.com,42.0
logix.in,41.0
mxthunder.com,41.0
natrohost.com,40.0
infomaniak.ch,39.0
hostland.ru,38.0
amazon.com,37.0
sitebuildit.com,37.0
*.kasserver.com,35.0
inmotionhosting.com,35.0
spamh.com,34.0
bertina.us,34.0
xserver.jp,34.0
aha.ru,33.0
one.com,32.0
fortimail.com,32.0
sgict.gov.sg,32.0
maxns.net,31.0
rediffmailpro.com,30.0
expedia.com,30.0
aliyun.com,29.5
antispameurope.com,29.0
mojohost.com,28.0
1gb.ru,28.0
usa.net,27.333333333333336
forwardemail.net,27.25
jino.ru,27.0
fornex.org,27.0
everyone.net,27.0
reflexion.net,26.0
ihglobaldns.com,26.0
cscdns.net,25.0
ihc.ru,24.0
iberlayer.com,24.0
isprime.com,23.0
alibaba-inc.com,23.0
freehost.com.ua,23.0
migadu.com,23.0
webempresa.eu,23.0
synaq.com,23.0
webazilla.com,22.0
mailhop.org,22.0
changeme.com,22.0
contaboserver.net,21.0
daum.net,21.0
action-media.ru,21.0
sepehrhost.ir,20.0
worksmobile.com,20.0
bcc.gov.bd,20.0
zerospam.ca,20.0
above.com,20.0
zoho.in,19.25
corpmailsvcs.com,19.0
siteprotect.com,19.0
mailroute.net,19.0
activeby.net,19.0
mxrouting.net,19.0
udag.de,19.0
rzone.de,19.0
mailguard.com.au,19.0
gosecure.net,19.0
sgvps.net,19.0
easydns.com,19.0
netangels.ru,18.0
icoremail.net,18.0
runbox.com,18.0
sendgrid.net,18.0
hornetsecurity.com,18.0
lolipop.jp,18.0
rediris.es,18.0
loopia.se,18.0
furanet.com,17.0
group.zone,17.0
valuehost.ru,17.0
securence.com,16.0
stackmail.com,16.0
ht-systems.ru,16.0
netcore.co.in,16.0
hvosting.ua,16.0
carrierzone.com,16.0
mail.gov.az,16.0
securewebportal.com,16.0
serveriai.lt,16.0
gridhost.co.uk,16.0
webfaction.com,16.0
automattic.com,16.0
hostlife.net,16.0
mailbox.org,15.0
internetmailserver.net,15.0
hostedmxserver.com,15.0
majordomo.ru,15.0
hiworks.com,15.0
serviciodecorreo.es,15.0
techsurgeons.com,15.0
doruk.net.tr,15.0
dfn.de,15.0
scig.gov.hk,15.0
ik2.com,14.5
zoneedit.com,14.0
spamtitan.com,14.0
pairserver.com,14.0
rian.ru,14.0
rambler-co.ru,14.0
smxemail.com,14.0
renault.fr,14.0
webnode.com,14.0
retarus.com,14.0
umh.ua,14.0
fwwgo.com,13.0
hoster.ru,13.0
traviangames.com,13.0
pearbox.net,13.0
tehila.gov.il,13.0
vadesecure.com,13.0
home.pl,13.0
un.org,13.0
antispam-post.ru,13.0
kagoya.net,13.0
hinet.net,12.0
careerjet.net,12.0
nastooh.ir,12.0
secureintellicentre.net.au,12.0
active24.com,12.0
aasaam.net,12.0
Disney.com,12.0
tigertech.net,12.0
hostia.name,12.0
wikimedia.org,12.0
volkswagen.de,12.0
emizban.ir,12.0
seznam.cz,12.0
emailowl.com,12.0
wargaming.net,11.0
megamailservers.com,11.0
recruit.co.jp,11.0
websupport.sk,11.0
ticimax.com,11.0
dondominio.com,11.0
dnswebhost.com,11.0
otenet.gr,11.0
media24.com,11.0
cloudhosting.co.uk,11.0
unileverservices.com,11.0
serverel.net,11.0
o2switch.net,11.0
maychuemail.com,11.0
beemoov.com,11.0
sherwebcloud.com,11.0
t1nn.net,10.0
palitra.ge,10.0
coreserver.jp,10.0
vps-private.net,10.0
megavelocity.net,10.0
io-servers.net,10.0
uaprom.net,10.0
apowersoft.com,10.0
advameg.com,10.0
abc.gov.pk,10.0
wmaker.net,10.0
topdns.com,10.0
simply.com,10.0
ps.kz,10.0
scanscope.net,10.0
regruhosting.ru,10.0
yalwa.net,10.0
arvixe.com,10.0
nazwa.pl,10.0
greenhost.com,10.0
ihsbulut.com,10.0
whmpanels.com,10.0
comsats.net.pk,10.0
locaweb.com.br,10.0
int-hosting.net,10.0
antanta.com,10.0
altospam.com,10.0
lancloud.ru,9.666666666666666
example.com,9.5
mail.schwarz,9.5
ds.network,9.5
autodoc.de,9.0
startdedicated.com,9.0
amadis.com,9.0
opalstack.com,9.0
host4g.ru,9.0
s-web.de,9.0
fvds.ru,9.0
daemonmail.net,9.0
hsmedia.ru,9.0
atypon.com,9.0
hostdl.com,9.0
register.it,9.0
rae.ru,9.0
epson-europe.com,9.0
superhosting.bg,9.0
expurgate.de,9.0
sltidc.lk,9.0
ihsmarkit.com,8.0
easymail.ca,8.0
redhat.com,8.0
gm.com,8.0
ovh.net.vps.server.be,8.0
populardirectory.org,8.0
oracle.com,8.0
ucoz.com,8.0
itsfogo.com,8.0
smtpsending.com,8.0
srv.cat,8.0
smartape.ru,8.0
ukr.net,8.0
mtw.ru,8.0
spreadomat.net,8.0
viettelidc.com.vn,8.0
misp.co.uk,8.0
mailplug.co.kr,8.0
wordpress.com,8.0
kaspersky-labs.com,8.0
parsianhost.net,8.0
action-mcfr.ru,8.0
hhs.gov,8.0
ispiria.net,8.0
csloxinfo.com,8.0
noornet.net,8.0
bravomediagroup.com,8.0
transip.email,8.0
domeneshop.no,8.0
sge.net,8.0
korea.kr,8.0
wamcash.com,8.0
zoomru.ru,8.0
ipecash.com,7.5
sunet.se,7.0
secure.ne.jp,7.0
mycloudmailbox.com,7.0
pitb.gov.pk,7.0
humanservices.gov.au,7.0
xbiz.ne.jp,7.0
global-mail.cn,7.0
cloudmailstore.com,7.0
mythic-beasts.com,7.0
paypalcorp.com,7.0
runhosting.com,7.0
ati.com.ua,7.0
dooray.com,7.0
metro.info,7.0
netvision.net.il,7.0
agenturserver.de,7.0
uzmanposta.com,7.0
d.co.il,7.0
dvdempire.com,7.0
dt-one.com,7.0
swatchgroup.com,7.0
hostinguk.net,7.0
citi.com,7.0
nameserver.sk,7.0
qlc.co.in,7.0
surfmailfilter.nl,7.0
prensaiberica.es,7.0
sandhills.com,7.0
transfermarkt.de,7.0
route25.eu,7.0
untd.com,7.0
1plus1.net,7.0
mailcloud.com.tw,7.0
agava.net,7.0
bigcommerce.com,7.0
mailprotect.be,7.0
dattaweb.com,7.0
greynium.com,7.0
r1host.com,7.0
marsh.com,7.0
dmzglobal.net,7.0
artwall.ru,7.0
researchnow.com,7.0
enc99-int.com,6.5
pavietnam.vn,6.5
vw.com,6.000000000000001
h-email.net,6.0
cafe24.com,6.0
bizmeka.com,6.0
farpost.ru,6.0
bund.de,6.0
proporn.com,6.0
bet365.com,6.0
emag.ro,6.0
emailarray.com,6.0
hostingas.lt,6.0
hbo.hu,6.0
jamejam.net,6.0
bravehost.com,6.0
mxes.net,6.0
online.net,6.0
friendfinderinc.com,6.0
unicc.org,6.0
esvacloud.com,6.0
abebooks.com,6.0
mail.gov.al,6.0
swisscom.com,6.0
persiantools.net,6.0
topnet.tn,6.0
osuosl.org,6.0
hostwgs.com,6.0
web-dns1.com,6.0
eapps.com,6.0
appservhosting.com,6.0
webhostbox.net,6.0
forumfoundry.com,6.0
immenzaces.com,6.0
dedicatedpanel.com,6.0
burda.com,6.0
mcfr.ru,6.0
mandrillapp.com,6.0
lankacom.net,6.0
noris.de,6.0
dwhost.net,6.0
hitcluster.com,6.0
danskebank.com,6.0
swishmail.com,6.0
hostatom.com,6.0
telekom.rs,6.0
interfax.ru,6.0
styria.hr,6.0
wrbm.com,6.0
property24.com,6.0
daouoffice.com,6.0
sgnetway.net,6.0
gammae.com,6.0
emg.fm,6.0
tigreapps.com,6.0
mycyberhosting.com,6.0
emirates.net.ae,6.0
daimler.com,6.0
centene.com,6.0
yutex.ru,6.0
lwspanel.com,6.0
e-i.net,6.0
parsdev.net,6.0
interrao.ru,6.0
arandomserver.com,6.0
nova.es,6.0
rr.ru,6.0
menara.ma,6.0
gzo.com,6.0
mivamerchant.net,6.0
vshosting.cloud,5.5
mxsmtp.com,5.0
loosefoot.com,5.0
dte.ir,5.0
ingw.tn,5.0
dubai.gov.ae,5.0
888holdings.com,5.0
thzhost.com,5.0
reforma.com,5.0
websystems.sk,5.0
tnt-tv.ru,5.0
telconet.net,5.0
egov.com,5.0
aldi-sued.com,5.0
sixcore.ne.jp,5.0
idika.gr,5.0
terra.com,5.0
trkua.tv,5.0
cyberspaceindia.com,5.0
secureserver.net.vps.server.be,5.0
ooredoo.tn,5.0
akipress.org,5.0
nationgroup.com,5.0
domain-robot.org,5.0
hostserv.co.za,5.0
myhsphere.biz,5.0
canonical.com,5.0
dnsv.jp,5.0
1c.ru,5.0
hostneverdie.com,5.0
Marriott.com,5.0
parsdata.com,5.0
flockmail.com,5.0
softline.ru,5.0
papgroup.co.uk,5.0
012.net.il,5.0
mailinblack.com,5.0
variomedia.de,5.0
elektra.com.mx,5.0
imcloud.org,5.0
hushmail.com,5.0
cloudmails.net,5.0
tavr.kiev.ua,5.0
eurobyte.ru,5.0
mojsite.com,5.0
mb1p.com,5.0
iinet.net.au,5.0
netmagicians.com,5.0
bcs.ru,5.0
onlanta.ru,5.0
sendcloud.org,5.0
dns.com.cn,5.0
vps-ukraine.com.ua,5.0
ooohosting.com,5.0
dewaspamguard.com,5.0
coop.ch,5.0
sonera.com,5.0
fednet.gov.ae,5.0
site4now.net,5.0
megamailservers.eu,5.0
mcemcw.com,5.0
nebula.fi,5.0
meta.vn,5.0
gsmserver.com,5.0
epmltd.com,5.0
linkedin.com,5.0
reliablemail.org,5.0
aos.rw,5.0
exeloncorp.com,5.0
bloomberg.com,5.0
exacttarget.com,5.0
m6.fr,5.0
soft-com.biz,5.0
dnsracks.com,5.0
stnc.com.hk,5.0
zonemx.eu,5.0
virusfree.cz,5.0
burda.ru,5.0
mpssec.net,5.0
