Provider,Domains_of_Provider
Microsoft,1123.5
Google,336.5
Barracuda,280.0
ProofPoint,155.0
Mimecast,87.0
AppRiver,60.0
Rackspace,48.0
Cisco,48.0
GoDaddy,32.5
Sophos,29.0
Solarwinds,28.0
IntermediaCloud,24.0
TrendMicro,22.0
hhs.gov,21.0
treasury.gov,18.0
FireEye,17.0
ForcePoint,15.0
Spamhero,13.0
EIG,12.0
Web.com,11.0
fortimail.com,10.0
avenet.net,10.0
GreenviewData,10.0
MessageLabs,9.0
gosecure.net,8.0
carrierzone.com,8.0
cia.gov,8.0
SiteGround,8.0
aptiris.com,7.0
securence.com,7.0
ornl.gov,7.0
siteprotect.com,6.0
state.fl.us,6.0
aoc.gov,6.0
inbound-smtp.us-east-1.amazonaws.com,6.0
tcnoc.com,6.0
mycloudmailbox.com,6.0
mailchannels.net,6.0
nd.gov,5.0
hornetsecurity.com,5.0
att.com,5.0
spamtitan.com,5.0
easydns.com,4.0
*.cloudaccess.net,4.0
Zoho,4.0
mailroute.net,4.0
loc.gov,4.0
bdhtek.com,3.0
zoneedit.com,3.0
compudyne.net,3.0
dol.gov,3.0
qwest.net,3.0
accessdomain.com,3.0
perfora.net,3.0
nv.gov,3.0
tulalipdata.com,3.0
inmotionhosting.com,3.0
epbfi.com,2.0
state.ma.us,2.0
mwmmail.com,2.0
fbi.gov,2.0
snwlhosted.com,2.0
fcpotawatomi-nsn.gov,2.0
stable-hpc.com,2.0
ramapo.org,2.0
megamailservers.com,2.0
springfieldcityhall.com,2.0
expurgate.net,2.0
myfloridahouse.gov,2.0
pnnl.gov,2.0
decaturil.gov,2.0
charter.net,2.0
iblock.net,2.0
westfordma.gov,2.0
federalreserve.gov,2.0
usgoldbureau.com,2.0
censys-scanner.com,2.0
acegroup.cc,2.0
digitaltowpath.org,2.0
sullivandata.com,2.0
cjissolutions.com,2.0
mailhop.org,2.0
eapps.com,2.0
littlerock.gov,2.0
portagemi.gov,2.0
newtekmanageditsolutions.com,2.0
parcel-airstreamcomm.net,2.0
usa.net,2.0
sendio.com,2.0
cnyric.org,2.0
libertymo.gov,2.0
esosoft.net,2.0
lubbock.tx.us,2.0
faa.gov,1.9999999999999996
celp.com,1.0
southold.ny.us,1.0
ppi.net,1.0
genevaohio.gov,1.0
maurycounty-tn.gov,1.0
usap.gov,1.0
hialeahfl.gov,1.0
sd.gov,1.0
bixbyok.gov,1.0
hudsonnh.gov,1.0
street-tek.com,1.0
infogressive.com,1.0
rcn.net,1.0
manchesterct.gov,1.0
townofpoughkeepsie-ny.gov,1.0
stephenvilletx.gov,1.0
sycuan.org,1.0
warracres-ok.gov,1.0
cityoflakewales.com,1.0
open-dc.gov,1.0
sheboyganwi.gov,1.0
barharbormaine.gov,1.0
itc.gov,1.0
greenvillesc.gov,1.0
brla.gov,1.0
erpddom.net,1.0
grinnelliowa.gov,1.0
monroecountypa.gov,1.0
usnx.com,1.0
hcsheriff.gov,1.0
hostedemail.com,1.0
starkcountyohio.gov,1.0
townofnewhartfordny.gov,1.0
csb.gov,1.0
mc.net,1.0
waltonhillsohio.gov,1.0
doe.gov,1.0
heshosting.com,1.0
duncanok.gov,1.0
killeentexas.gov,1.0
vision.net,1.0
fultoncountyny.gov,1.0
vacourts.gov,1.0
chemungcountyny.gov,1.0
cherokeecounty-nc.gov,1.0
wordpress.com,1.0
