index,software,user_count
0,bsky,38513072
1,atproto.brid.gy ⇄,31547
2,esnoticia.online 🤖,563
3,keik.info 👽,532
4,blacksky.app ☀️,459
5,at.app.wafrn.net 👽,350
6,pds.sprk.so 📱,225
7,marta.fail 🤖,141
8,tngl.sh 📱,125
9,pds.witchcraft.systems ☀️,54
10,dev-frosting.social 🤖,36
11,gaza.click 🤖,28
12,pds.si46.world,28
13,si46.homes,24
14,zio.blue,24
15,reme.social,23
16,pds.360.cymru,20
17,pds.akizuki.best 🤖,20
18,blogsky.venki.dev ⇄,19
19,at.shendrick.net 🤖,17
20,hopefoundatione.org 🤖,17
21,mpi-bluesky-pds.mpi-sws.org,15
22,rat.mom,14
23,hellthread.pro,13
24,pds.merklehost.xyz,13
25,blackstar.quest,12
26,pds.blsky.eu,12
27,pds.coord.dev,12
28,ansel.grainsocial.network,11
29,pds.mmatt.net,11
30,bluesky.myhomecloud.it,10
31,radixians.org,10
32,atproto.storacha.network,9
33,bsky.pink,9
34,bsky.plasmatrap.com,9
35,bsky.zoner.work,9
36,mraow.party,9
37,pds.skyfeed.dev,9
38,socl.is,9
39,tweet.pub,9
40,altq.net,8
41,at.thenote.app,8
42,geese.blue,8
43,northsky.social,8
44,pds.bun.how,8
45,pds.moe,8
46,pds.synth.download,8
47,teto.mom,8
48,bsky.homestuck.fr,7
49,bsky.pipiska.org,7
50,network.hukoubook.com,7
51,ocho.app,7
52,pds.everynothing.net,7
53,selfhosted.social ☀️,7
54,totallynotseth.dev,7
55,at.bnbdiscord.net,6
56,atproto.systems,6
57,b.lordfuckpuppy.social,6
58,blue-ocean.social,6
59,choomga.ng,6
60,koyu.space,6
61,pds.dreary.dev,6
62,pds.koda-agency.io,6
63,pds.malpercio.dev,6
64,pds.mice.tel,6
65,pds.mozzius.dev,6
66,pds.popbob.wtf,6
67,reverie.house,6
68,shinigami.cyou,6
69,social.wiredcloud.xyz,6
70,theatl.social,6
71,0x9.at,5
72,bluesky.zergy.net,5
73,bsky.weebsandotako.ink,5
74,chambana.online,5
75,deadinternet.social,5
76,divy.zone,5
77,epochal.quest,5
78,fallbreakers.net,5
79,grapevyne.social,5
80,iame.li,5
81,jedillama.social,5
82,mesky.org,5
83,pds-dev.si46.world,5
84,pds.indexx.dev,5
85,pds.invoxiplaygames.com,5
86,pds.meowing.zip,5
87,pds.moll.blue,5
88,pds.robocracy.org,5
89,pds.syahu.com,5
90,pussy.fortnitehacks.download,5
91,sea.whims.io,5
92,skyen.live,5
93,steamboat.social,5
94,thighjob.org,5
95,zediron.shop,5
96,at-pds.whiteside.io,4
97,at.w.linuxposting.xyz,4
98,autonomylab.xyz,4
99,blue.ahri.cloud,4
100,bluesky.cromulus.com,4
101,bluesky.druid.fi,4
102,bluesky.siacone.art,4
103,bluesky.wolf-grid.com,4
104,bringyourown.computer,4
105,brioco.space,4
106,bsky.chatsafemedia.one,4
107,bsky.helvetet.eu,4
108,bsky.liberalrepublic.org,4
109,bsky.on-a-ps4.lol,4
110,bsky.scalix.social,4
111,bsky.soopy.moe,4
112,bs.nzcow.com,4
113,catgirls.social,4
114,cocoon.hailey.at 🐿️,4
115,colchester.social,4
116,eepy.day,4
117,gumby.social,4
118,hermitary.brad.quest,4
119,hop.dedyn.io,4
120,knotbin.xyz,4
121,lacunas.net,4
122,mijnbluesky.nl,4
123,otasora.blue,4
124,pds1.bsky.owu.one,4
125,pds.amsel.dev,4
126,pds.cauda.cloud,4
127,pds.furtenbach.social,4
128,pds.mikemerritt.xyz,4
129,pds.n2.pm,4
130,pds.over.rest,4
131,pds.quimian.com,4
132,pds.sappho.systems,4
133,pds.shreyanjain.net,4
134,pds.stupid.fish,4
135,pds.tgirl.cloud,4
136,pds.ubanis.mydns.jp,4
137,purr.systems,4
138,rainbowgirl.moe,4
139,redocean.one,4
140,skyfurs.social,4
141,social.eyevinn.technology,4
142,tnn1t1s.me,4
143,tried.one,4
144,turtleis.land,4
145,ugns.link,4
146,unconsensus.com,4
147,userdir.de,4
148,zoeys.computer,4
149,2queer.xyz,3
150,akizu.network,3
151,all-the-hobbies.xyz,3
152,amethyst.name,3
153,ami.social,3
154,at.arimelody.space,3
155,at.bliss.town,3
156,at.nihili.st,3
157,blauwelucht.online,3
158,blsk.neonweb.org,3
159,bluesky.nickthesick.com,3
160,bluesky.socket.es,3
161,bluesky.speely.net,3
162,bluesky.torchwood.me,3
163,bs.disruption-systems.com,3
164,bsky.aenead.net,3
165,bsky.devcomp.xyz,3
166,bsky.dix.sexy,3
167,bsky.mstar.dev,3
168,bsky.netho.tk,3
169,bsky.pixp.cc,3
170,bsky.qualipsoft.com,3
171,bsky.runhello.com,3
172,bsky.techhangout.social,3
173,bsky.tessa.works,3
174,bs.possumpat.io,3
175,c00lest-kats-on.ovh,3
176,chavvy.net,3
177,chicory.blue,3
178,codeandstrings.com,3
179,comind.network,3
180,d3v.ltd,3
181,derschlingel01.de,3
182,doggos.life,3
183,earlgreyders.wang,3
184,ecow.dev,3
185,elcentro.social,3
186,farlands.cafe,3
187,filly.social,3
188,foxhole.lgbt,3
189,fttp.cc ⚠️,3
