instance,type,origins,empty
bitbucket,git,2926796,
bower,git,56983,
alexschroeder.ch,git,64,
anongit.mindrot.org,git,2,
bgstack15.ddns.net,git,108,
blackhole.midnightspark.net,git,15,
browse.dgit.debian.org,git,5088,
cafarelli.fr,git,3,
cgit.alxu.ca,git,20,
cgit.bunkergate.org,git,3,
cgit.freebsd.org,git,3,
cgit.hisiste.com,git,4,
cgit.janouch.name,git,21,
channels.ones-now.com,git,1,
cheapiesystems.com,git,68,
code.mastervirt.ru,git,15,
code.qt.io,git,332,
cygwin.com,git,3721,
delwink.com,git,10,
dev.sanctum.geek.nz,git,84,
erp.ceuconsult.com:9000,git,3,
erratique.ch,git,78,
evilpiepirate.org,git,50,
fedorapeople.org,git,886,
g.blicky.net,git,44,
gcc.gnu.org,git,3,
git-old.jff.email,git,4,
git.0pointer.net,git,59,
git.acdw.net,git,59,
git.ache.one,git,32,
git.adammathes.com,git,3,
git.adbjesus.com,git,3,
git.adrian.geek.nz,git,9,
git.adriansopar.hu,git,3,
git.adyxax.org,git,30,
git.afu.re,git,5,
git.ageinghacker.net,git,10,
git.alanpearce.eu,git,18,
git.alpinelinux.org,git,18,
git.andrewyu.org,git,100,
git.ashardalon.com,git,31,
git.aurel32.net,git,11,
git.automotivelinux.org,git,244,
git.azuminha.com,git,9,
git.baserock.org,git,1502,
git.beansandpixels.se,git,3,
git.benjamin.barenblat.name,git,103,
git.benkard.de,git,26,
git.bitwiz.org.uk,git,28,
git.blazebone.com,git,7,
git.bnfr.net,git,23,
git.bpcspace.com,git,27,
git.breakpoint.cc,git,31,
git.brodokk.space,git,3,
git.build2.org,git,61,
git.busybox.net,git,31,
git.calcurse.org,git,1,
git.casa,git,23,
git.causal.agency,git,20,
git.cbaines.net,git,64,
git.cgsecurity.org,git,1,
git.chimrod.com,git,15,
git.clayosmith.net,git,5,
git.clsr.net,git,20,
git.codesynthesis.com,git,34,
git.cppget.org,git,1,
git.cryptech.is,git,97,
git.cryptomilk.org,git,18,
git.cuprictea.org,git,6,
git.cynerd.cz,git,35,
git.danieljon.es,git,34,
git.datenwolf.net,git,29,
git.dawidpotocki.com,git,9,
git.dblsaiko.net,git,13,
git.dec05eba.com,git,44,
git.deluge-torrent.org,git,1,
git.deprecated.org,git,15,
git.devys.org,git,38,
git.distress.network,git,4,
git.dmz.rs,git,1,
git.dotslashplay.it,git,8,
git.dpdk.org,git,43,
git.dpkg.org,git,8,
git.drainerdomain.xyz,git,3,
git.drobilla.net,git,22,
git.dthompson.us,git,34,
git.dwarfstd.org,git,4,
git.eagain.io,git,1,
git.eclipse.org,git,784,
git.egiz.gv.at,git,11,
git.emacsconf.org,git,3,
git.endless-turtles.com,git,16,
git.enea.com,git,75,
git.eno.space,git,4,
git.exotic.sh,git,7,
git.figboot.dev,git,5,
git.finalrewind.org,git,70,
git.fluxo.info,git,230,
git.fps.ee,git,60,
git.freaks.dev,git,6,
git.freesoftwareextremist.com,git,2,
git.fripost.org,git,10,
git.fucktheforce.de,git,33,
git.geany.org,git,10,
git.gitano.org.uk,git,85,
git.gluster.org,git,23,
git.gna.ch,git,3,
git.gnu.ca,git,3,
git.gnu.org.ua,git,178,
git.gnumonks.org,git,12,
