asn,nb_hostnames
395747,282775
21664,103200
394432,39422
394507,24189
215859,19880
16276,17646
8075,16388
213120,12655
394192,11277
62567,10915
204915,9182
37963,6670
395458,6091
204450,5449
26496,5289
19551,4831
8560,4103
10753,4080
17668,4044
61976,3949
22612,3736
36678,3732
6496,3667
29169,3588
8195,3554
214455,3494
17025,3427
50482,3424
24600,3413
18881,3331
6057,3321
41722,3311
53824,3272
1916,3267
3844,3241
328832,3219
56696,3201
28320,3190
12956,3186
15605,3186
6762,3185
19422,3185
19653,3184
28398,3183
328137,3183
37662,3182
62768,3182
132337,3182
263945,3182
198610,3150
58061,3060
5381,3048
49352,3031
57724,2947
46606,2937
49287,2888
8708,2831
17984,2820
136620,2815
52320,2804
45352,2791
9123,2774
6327,2770
52167,2767
14537,2756
7589,2755
15802,2754
2614,2751
29049,2751
2635,2745
8919,2744
52468,2738
24482,2738
35598,2736
51530,2735
396390,2735
137409,2731
20764,2730
15958,2730
61568,2729
23520,2729
45517,2729
2027,2728
196753,2728
205920,2728
63240,2725
207841,2725
270014,2725
35600,2725
38726,2725
52025,2725
136373,2724
13786,2724
64475,2724
48641,2724
35360,2724
14016,2724
1031,2724
264409,2724
50628,2724
131965,2486
30148,2434
133795,2414
45090,2247
14441,2134
29182,2072
39572,1980
38019,1875
141995,1801
135097,1756
3457,1644
135905,1634
9760,1622
12322,1603
202242,1587
401200,1504
22720,1486
60781,1453
6939,1450
7979,1391
30961,1309
210656,1298
7684,1286
31586,1251
26347,1229
7506,1212
49665,1173
58182,1156
59467,1147
56341,1116
54641,1091
40824,1013
19905,1011
36420,998
204800,996
48287,975
14117,969
9730,966
9371,963
201106,950
5545,943
134365,942
211612,933
10480,930
63410,920
197540,920
30811,914
35425,911
51025,905
205585,879
8231,878
133618,869
13030,847
55293,847
37251,842
131073,836
9370,832
1273,831
393299,822
48571,820
4694,818
18377,817
61049,813
327788,813
132602,813
8529,812
32494,811
61573,811
64126,811
1000,811
262427,811
399566,798
47846,788
34788,787
200000,774
148000,761
401696,759
210079,759
18310,739
33265,732
139341,717
48760,712
32338,695
51433,693
6724,690
26666,681
48254,672
139144,668
200325,638
32691,634
33157,624
12178,617
29222,601
15817,601
33664,586
50474,578
24971,576
4837,574
40034,571
62325,563
9688,558
9505,549
36352,542
4713,539
44128,529
27589,525
34432,523
6697,520
43298,514
64407,507
23352,506
4835,505
52030,495
61969,493
212216,492
38369,489
397220,483
397234,483
397223,483
397239,483
394695,478
49981,476
44112,475
27522,474
34342,472
61323,471
24282,454
213232,452
28299,449
3320,447
33182,442
12488,442
54801,442
42612,441
274483,436
204601,435
40021,435
47447,433
209626,433
23576,431
273584,430
202816,428
25532,423
7203,423
54994,421
28753,419
214308,418
37153,417
35280,413
35744,410
680,408
34619,405
20756,401
201200,399
29066,393
8920,393
2497,391
394297,391
40699,388
9121,385
140290,382
16552,376
9009,371
24961,371
202053,366
23724,365
201706,364
211505,361
59692,357
4808,356
12824,356
40065,355
207728,352
400275,351
9597,349
3352,348
47111,340
23824,334
36356,334
18945,333
200019,332
30340,331
2057,329
7859,328
201186,322
6656,321
200995,320
13601,316
15685,313
12543,313
